序号,代码,名称,最新价(元) 2026.06.25,涨跌幅(%) 2026.06.25,证券类型,股票简称,成交额(元) 2026.06.25,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25
40,688012,中微公司,399.13,4.21,A股,中微公司,119.03亿,电子-半导体-半导体设备,电子-半导体-半导体设备,国产芯片、LED概念、区块链、上证180_、国家大基金持股、工业互联、存储芯片、HS300_、大盘成长、中芯概念、高带宽内存、科创板做市股、科技风格、富时罗素、MSCI中国、宁组合、融资融券、沪股通、半导体概念、大盘股、先进封装、上证50_、股权激励、先进封装设备、长江三角、MiniLED,16.130,412.50,388.01,3.17,0.99,2967.57万,100.48,14.6816,3739.74亿,3739.74亿
41,000100,TCL科技,5.34,10.10,A股,TCL科技,119.02亿,电子-光学光电子-面板,电子-光学光电子-面板,屏下摄像、国产芯片、粤港澳大湾区、周期股、电子纸概念、深证100R、AIPC、证金持股、工业互联、标准普尔、深成500、柔性屏、AI芯片、华为概念、小米概念、消费电子概念、HS300_、MicroLED、超级品牌、OLED、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、AI眼镜、显示技术、深股通、虚拟现实、绿色电力、硅能源、半导体概念、大盘股、PCB、光伏概念、比亚迪概念、参股银行、MiniLED,0.490,5.34,5.02,11.80,1.46,22.58亿,17.84,1.8265,1110.77亿,1021.65亿
42,000636,风华高科,79.62,10.00,A股,风华高科,111.75亿,电子-元件-被动元件,电子-元件-被动元件,粤港澳大湾区、中盘股、5G概念、东数西算、昨日高振幅、高压快充、深成500、华为概念、通信技术、东方财富热股、电池技术、趋势股、智能穿戴、创投、央国企改革、CPO概念、超级电容、科技风格、小金属概念、MLCC、机器人概念、题材股、融资融券、低空经济、液冷概念、AI眼镜、深股通、虚拟机器人、无人机、中盘成长、商业航天、被动元件概念、光伏概念、卫星导航、锂电池概念、比亚迪概念、传感器、汽车电子,7.240,79.62,71.00,12.54,1.01,1.45亿,260.06,7.3798,921.21亿,921.21亿
43,600030,中信证券,28.98,3.91,A股,中信证券,108.27亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,权重股、周期股、融资融券、行业龙头、参股期货、上证180_、证金持股、沪股通、券商概念、标准普尔、深圳特区、大盘股、华为概念、HS300_、上证50_、互联网金融、科创板做市商、富时罗素、金融地产风格、MSCI中国、参股银行,1.090,29.06,27.71,3.11,1.21,3.79亿,10.51,1.5047,4294.99亿,3528.76亿
44,000657,中钨高新,105.68,5.60,A股,中钨高新,107.09亿,有色金属-小金属-钨,有色金属-小金属-钨,周期股、工业母机、深证100R、乡村振兴、昨日高振幅、海南自贸、金属钴、雅下水电概念、深成500、东方财富热股、创投、趋势股、HS300_、2026一季报预增、央国企改革、DeepSeek概念、小金属概念、富时罗素、中字头、MSCI中国、题材股、金属铜、军工、医疗器械概念、融资融券、深股通、养老金、金属回收、大盘股、PCB、光伏概念、新材料、可控核聚变、金属钨、高端装备、盾构机,5.600,107.58,98.00,7.08,0.95,1.03亿,65.36,22.5384,2408.03亿,1535.45亿
45,688521,芯原股份,338.05,12.35,A股,芯原股份,106.95亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、国家大基金持股、GPU、AI芯片、HS300_、大盘成长、腾讯概念、人工智能、无人驾驶、科技风格、MCU芯片、物联网、MSCI中国、阿里概念、AI手机、上海自贸、融资融券、AI眼镜、数字货币、虚拟现实、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、智能音箱、汽车芯片,37.150,350.88,295.31,6.31,1.24,3319.62万,-130.40,56.4937,1777.86亿,1777.86亿
46,601869,长飞光纤,575.00,-0.86,A股,长飞光纤,104.47亿,通信-通信设备-通信线缆及配套,通信-通信设备-通信线缆及配套,光纤光缆、国产芯片、专精特新、5G概念、海工装备、东数西算、昨日高振幅、光通信模块、抖音概念、新能源车、工业互联、第三代半导体、标准普尔、铜缆高速连接、最近多板、通信技术、东方财富热股、趋势股、创投、大盘成长、空芯光纤、百日新高 、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、机器人概念、量子科技、题材股、融资融券、近期新高、超清视频、上证380、中证500、沪股通、特高压、大盘股、碳化硅、数据中心、历史新高 、人形机器人、光纤概念、一带一路、智能电网、太赫兹、风能,-5.000,600.00,565.00,4.43,1.13,1801.20万,240.36,33.4491,4760.45亿,2336.45亿
47,000988,华工科技,173.58,3.39,A股,华工科技,104.42亿,机械设备-自动化设备-激光设备,机械设备-自动化设备-激光设备,国产芯片、全息技术、深证100R、乡村振兴、高压快充、3D打印、深成500、存储芯片、宁德时代概念、AI智能体、铜缆高速连接、新型工业化、大盘成长、腾讯概念、农机、2026一季报预增、独角兽、量子通信、富时罗素、物联网、基因测序、阿里概念、机器人概念、数据要素、航空发动机、融资融券、华为汽车、F5G概念、商业航天、半导体概念、苹果概念、先进封装、PCB、华为系算力、玻璃基板、卫星导航、汽车热管理、湖北三资改革、湖北自贸、MiniLED、光芯片、专精特新、5G概念、工业母机、东数西算、光通信模块、新能源车、钙钛矿电池、第三代半导体、工业互联、标准普尔、柔性屏、先进制造风格、华为概念、通信技术、长安汽车概念、创投、HS300_、MicroLED、央国企改革、智能家居、百度概念、CPO概念、DeepSeek概念、MSCI中国、量子科技、大飞机、6G概念、数字孪生、移动支付、充电桩、深股通、智能座舱、智慧城市、大盘股、蓝宝石、IPO受益、氢能源、新材料、比亚迪概念、6G元器件、锂电池概念、高端装备、传感器、汽车电子、3D玻璃、特斯拉概念,5.690,174.34,165.40,6.06,0.81,6089.61万,68.34,15.2585,1745.35亿,1744.45亿
48,300604,长川科技,309.99,0.86,A股,长川科技,99.59亿,电子-半导体-半导体设备,电子-半导体-半导体设备,国产芯片、题材股、专精特新、融资融券、两岸合作、昨日高振幅、深股通、近期新高、国家大基金持股、中证500、半导体概念、存储芯片、深成500、大盘股、东方财富热股、大盘成长、2025三季报预增、历史新高 、百日新高 、海峡两岸、创业板综、科技风格、2025年报预增、MSCI中国,2.640,316.50,298.90,6.62,0.99,3242.29万,139.46,39.1003,1966.63亿,1517.31亿
49,300033,同花顺,259.00,7.83,A股,同花顺,96.02亿,计算机-软件开发-垂直应用软件,计算机-软件开发-垂直应用软件,区块链、多模态AI、鸿蒙概念、深证100R、证金持股、深成500、AI智能体、HS300_、大盘成长、互联网金融、AI应用、人工智能、科技风格、富时罗素、2025年报预增、AI语料、MSCI中国、云计算、数据要素、融资融券、行业龙头、深股通、虚拟机器人、AIGC概念、ChatGPT概念、券商概念、大盘股、国产软件、创业板综、智能医疗、长江三角、大数据,18.800,265.88,239.30,8.62,1.40,3780.20万,190.41,45.8900,1949.34亿,1135.48亿
50,600105,永鼎股份,72.96,6.14,A股,永鼎股份,94.55亿,通信-通信设备-通信线缆及配套,通信-通信设备-通信线缆及配套,国产芯片、中盘股、海工装备、3D打印、磁悬浮概念、东方财富热股、趋势股、富时罗素、超导材料、题材股、军工、融资融券、低空经济、华为汽车、昨日首板、中盘成长、商业航天、网络安全、数据中心、超导概念、光纤概念、长江三角、大数据、光芯片、光纤光缆、专精特新、5G概念、东数西算、昨日高振幅、光通信模块、新能源车、工业互联、标准普尔、华为概念、最近多板、通信技术、核能核电、百日新高 、CPO概念、科技风格、2025年报预增、MSCI中国、数据安全、近期新高、中证500、沪股通、历史新高 、可控核聚变、一带一路、比亚迪概念、3D打印设备、风能、参股银行,4.220,73.97,68.10,9.03,0.88,1.32亿,167.90,32.3599,1066.67亿,1066.67亿
51,002371,北方华创,798.00,3.63,A股,北方华创,94.54亿,电子-半导体-半导体设备,电子-半导体-半导体设备,国产芯片、深证100R、昨日高振幅、长江存储、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、电池技术、HS300_、大盘成长、中芯概念、高带宽内存、光刻机/胶、央国企改革、百日新高 、中国AI 50、OLED、科技风格、富时罗素、MSCI中国、宁组合、权重股、华为海思、融资融券、深股通、近期新高、半导体概念、大盘股、光伏概念、历史新高 、锂电池概念、茅指数,27.930,810.00,775.00,1.64,1.07,1188.40万,88.56,14.9478,5791.00亿,5786.38亿
52,688797,C臻宝,574.44,-1.81,A股,臻宝科技,94.17亿,电子-半导体-半导体材料,电子-半导体-半导体材料,东方财富热股、专精特新、融资融券、西部大开发、国家大基金持股、高端装备、OLED、注册制次新股、半导体概念、存储芯片、次新股、先进封装,-10.560,619.97,530.00,55.84,0.73,1630.20万,437.06,31.1033,892.05亿,167.69亿
53,301217,铜冠铜箔,183.27,-1.83,A股,铜冠铜箔,92.16亿,电力设备-电池-锂电池,电力设备-电池-锂电池,题材股、中盘股、融资融券、5G概念、2025年报扭亏、深股通、深成500、宁德时代概念、锂电铜箔、PET铜箔、PCB、先进制造风格、东方财富热股、电池技术、趋势股、固态电池、储能概念、锂电池概念、比亚迪概念、央国企改革、创业板综、固态铜箔、PCB铜箔、安徽三资改革,-3.420,187.58,176.00,6.10,1.01,5057.59万,357.16,27.6188,1519.34亿,1519.34亿
54,002407,多氟多,43.79,-1.04,A股,多氟多,90.02亿,基础化工-化学制品-氟化工,基础化工-化学制品-氟化工,钠离子电池、国产芯片、六氟磷酸锂、中盘股、昨日高振幅、化工原料、新能源车、第三代半导体、工业互联、标准普尔、深成500、存储芯片、东方财富热股、创投、昨日高换手、电池技术、固态电池、储能概念、核能核电、中芯概念、PVDF概念、独角兽、富时罗素、动力电池回收、题材股、中盘价值、数字孪生、融资融券、2025年报扭亏、深股通、中证500、硅能源、半导体概念、氟化工概念、新材料、锂电池概念、比亚迪概念、氢氟酸、股权激励、特斯拉概念,-0.460,45.96,43.25,18.79,0.99,2.03亿,34.70,6.1047,521.29亿,472.39亿
55,002837,英维克,86.99,4.98,A股,英维克,89.44亿,机械设备-专用设备-其他专用设备,机械设备-专用设备-其他专用设备,粤港澳大湾区、5G概念、东数西算、深证100R、昨日高振幅、新能源车、抖音概念、深圳特区、深成500、先进制造风格、华为概念、通信技术、东方财富热股、HS300_、大盘成长、UQD连接器、腾讯概念、储能概念、CDU、中国AI 50、MSCI中国、阿里概念、军工、融资融券、液冷概念、充电桩、深股通、字节系算力、大盘股、数据中心、英伟达概念、比亚迪概念、腾讯云、高铁、冷链物流,4.130,89.69,84.10,9.12,1.17,1.03亿,3201.11,33.5972,1108.56亿,983.39亿
56,000063,中兴通讯,38.44,2.73,A股,中兴通讯,89.24亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、屏下摄像、多模态AI、区块链、深证100R、乡村振兴、数字经济、抖音概念、深圳特区、深成500、AI智能体、AI芯片、交换机、智能穿戴、腾讯概念、边缘计算、AI应用、中国AI 50、量子通信、国产操作系统、富时罗素、无线充电、物联网、机器人概念、低空经济、融资融券、液冷概念、超清视频、无人机、ChatGPT概念、商业航天、网络安全、数据中心、AI手机代工、卫星导航、光纤概念、星闪概念、汽车芯片、智能医疗、无线耳机、粤港澳大湾区、数据中心液冷、5G概念、东数西算、IPv6、通感一体化、证金持股、DPU、新能源车、元宇宙概念、水利建设、车联网、工业互联、标准普尔、通信技术、消费电子概念、HS300_、信创、百度概念、在线教育、DeepSeek概念、人工智能、科技风格、MSCI中国、AI手机、量子科技、卫星互联网、云计算、6G概念、AI眼镜、深股通、算力概念、空管系统、虚拟现实、智慧城市、大盘股、人形机器人、比亚迪概念、锂电池概念、海峡两岸、太赫兹、汽车电子,1.020,38.80,37.31,5.81,1.12,2.34亿,35.08,2.3978,1838.79亿,1548.22亿
57,603259,药明康德,117.22,1.58,A股,药明康德,88.90亿,医药生物-医疗服务-医疗研发外包,医药生物-医疗服务-医疗研发外包,CRO、昨日高振幅、上证180_、贬值受益、标准普尔、东方财富热股、医药医疗风格、HS300_、百日新高 、独角兽、富时罗素、创新药、2025年报预增、MSCI中国、CAR-T细胞疗法、创新医疗服务、宁组合、权重股、融资融券、行业龙头、近期新高、昨日触板、沪股通、大盘股、上证50_、茅指数、昨日炸板,1.820,118.50,113.23,3.09,1.26,7643.44万,18.80,4.3989,3497.56亿,2899.18亿
58,600498,烽火通信,84.69,2.95,A股,烽火通信,87.82亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、国资云概念、中盘股、海工装备、AI智能体、趋势股、空芯光纤、华为昇腾、富时罗素、华为鲲鹏、数据要素、智慧政务、融资融券、液冷概念、中盘成长、上证380、F5G概念、商业航天、特高压、网络安全、华为系算力、数据中心、卫星导航、光纤概念、汽车芯片、智能医疗、湖北三资改革、大数据、湖北自贸、光纤光缆、数据中心液冷、5G概念、东数西算、IPv6、昨日高振幅、光通信模块、数字乡村、标准普尔、通信技术、创投、央国企改革、CPO概念、DeepSeek概念、人工智能、科技风格、MCU芯片、MSCI中国、卫星互联网、云计算、数据安全、6G概念、算力概念、中证500、沪股通、智慧城市、一带一路、中特估、WiFi6,2.430,87.40,81.69,8.14,0.77,1.04亿,749.00,6.5457,1150.23亿,1076.94亿
59,300274,阳光电源,152.66,-1.38,A股,阳光电源,87.78亿,电力设备-光伏设备-逆变器,电力设备-光伏设备-逆变器,周期股、深证100R、数字经济、新能源车、深成500、宁德时代概念、先进制造风格、HS300_、大盘成长、储能概念、富时罗素、MSCI中国、阿里概念、宁组合、权重股、融资融券、行业龙头、充电桩、深股通、虚拟电厂、储能变流器、大盘股、数据中心、光伏概念、氢能源、系统集成、茅指数、创业板综、光伏逆变器、风能,-2.140,155.60,149.63,3.64,0.77,5779.73万,34.53,6.6997,3164.96亿,2423.52亿
60,000066,中国长城,20.47,7.74,A股,中国长城,83.86亿,计算机-计算机设备-其他计算机设备,计算机-计算机设备-其他计算机设备,国产芯片、钠离子电池、中盘股、区块链、海工装备、数字经济、AIPC、CPU、深圳特区、深成500、交换机、东方财富热股、中国AI 50、国产操作系统、中字头、富时罗素、互联医疗、华为鲲鹏、军工、融资融券、液冷概念、商业航天、网络安全、华为系算力、数据中心、卫星导航、智能电网、大数据、北斗导航、粤港澳大湾区、数据中心液冷、5G概念、东数西算、昨日高振幅、车联网、标准普尔、华为概念、军民融合、通信技术、电池技术、消费电子概念、信创、央国企改革、百度概念、DeepSeek概念、人工智能、MSCI中国、量子科技、数据安全、充电桩、深股通、智慧城市、参股券商、锂电池概念、中特估、汽车电子,1.470,20.80,18.31,13.34,1.53,4.30亿,-197.42,6.0403,660.32亿,660.27亿
61,300570,太辰光,258.31,-4.80,A股,太辰光,83.75亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、中盘股、5G概念、融资融券、深股通、算力概念、贬值受益、光通信模块、中盘成长、中证500、F5G概念、深圳特区、深成500、铜缆高速连接、MPO连接器、通信技术、数据中心、趋势股、光纤概念、CPO概念、创业板综、物联网、传感器,-13.010,277.26,246.30,16.86,1.16,3241.26万,222.98,33.1656,586.69亿,496.45亿
62,600460,士兰微,49.86,-0.30,A股,士兰微,83.56亿,电子-半导体-分立器件,电子-半导体-分立器件,国产芯片、LED概念、中盘股、共同富裕示范区、IGBT概念、昨日高振幅、国家大基金持股、新能源车、第三代半导体、氮化镓、标准普尔、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、HS300_、百日新高 、OLED、富时罗素、MCU芯片、2025年报预增、MSCI中国、题材股、融资融券、近期新高、中盘成长、上证380、沪股通、半导体概念、碳化硅、先进封装、光伏概念、比亚迪概念、汽车芯片、长江三角、风能、传感器、汽车电子、MiniLED,-0.150,51.43,48.11,10.13,0.95,1.69亿,99.32,6.8026,829.71亿,829.71亿
63,603083,剑桥科技,260.40,-0.69,A股,剑桥科技,83.56亿,通信-通信设备-通信终端及配件,通信-通信设备-通信终端及配件,中盘股、5G概念、昨日高振幅、贬值受益、光通信模块、工业互联、新型工业化、华为概念、最近多板、通信技术、东方财富热股、信创、智能家居、百日新高 、边缘计算、CPO概念、科技风格、2025年报预增、物联网、MSCI中国、题材股、融资融券、液冷概念、近期新高、中盘成长、上证380、F5G概念、沪股通、历史新高 、一带一路、股权激励、WiFi6、WiFi,-1.810,263.30,253.03,11.75,1.04,3237.88万,202.60,12.8475,958.92亿,717.63亿
64,002436,兴森科技,53.53,6.57,A股,兴森科技,83.30亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、粤港澳大湾区、中盘股、5G概念、昨日高振幅、光通信模块、标准普尔、深圳特区、深成500、存储芯片、华为概念、军民融合、通信技术、东方财富热股、互联网金融、高带宽内存、CPO概念、毫米波概念、科技风格、富时罗素、机器人概念、卫星互联网、军工、6G概念、低空经济、融资融券、2025年报扭亏、深股通、中证500、商业航天、半导体概念、先进封装、PCB、玻璃基板、6G元器件、先进封装材料、通信PCB,3.300,54.10,49.00,10.46,0.75,1.59亿,1213.46,17.2109,909.84亿,812.55亿
65,300666,江丰电子,330.00,8.54,A股,江丰电子,82.90亿,电子-半导体-半导体材料,电子-半导体-半导体材料,国产芯片、中盘股、融资融券、共同富裕示范区、深股通、中盘成长、中证500、第三代半导体、半导体概念、存储芯片、深成500、华为概念、趋势股、光伏概念、新材料、中芯概念、光刻机/胶、碳纤维、海峡两岸、创业板综、OLED、富时罗素、中韩自贸区,25.960,337.70,304.10,11.57,0.99,2558.54万,108.55,13.0352,910.70亿,729.68亿
66,301526,国际复材,47.88,6.45,A股,国际复材,82.12亿,建筑材料-玻璃玻纤-玻纤制造,建筑材料-玻璃玻纤-玻纤制造,中盘股、5G概念、西部大开发、昨日高振幅、数字经济、工业互联、深成500、华为概念、通信技术、东方财富热股、趋势股、消费电子概念、央国企改革、百日新高 、PEEK材料概念、题材股、融资融券、2025年报扭亏、深股通、近期新高、中盘成长、昨日触板、中证500、绿色电力、电子布、华为手机、特高压、PCB、光伏概念、历史新高 、一带一路、创业板综、风能、汽车电子,2.900,49.20,42.60,12.37,0.87,1.74亿,167.06,21.1521,1805.50亿,672.42亿
67,600549,厦门钨业,85.86,3.41,A股,厦门钨业,82.09亿,有色金属-小金属-钨,有色金属-小金属-钨,上证180_、金属钴、标准普尔、宁德时代概念、电池技术、趋势股、HS300_、固态电池、央国企改革、独角兽、小金属概念、富时罗素、MLCC、MSCI中国、机器人概念、动力电池回收、军工、稀土永磁、福建自贸区、稀缺资源、融资融券、偏滤器、无人机、沪股通、商业航天、大盘股、稀土开采、氢能源、光伏概念、新材料、可控核聚变、金属钨、锂电池概念、海峡两岸,2.830,87.50,81.55,6.18,0.72,9604.41万,30.79,7.7163,1363.10亿,1334.21亿
68,300346,南大光电,74.72,-2.96,A股,南大光电,81.60亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、LED概念、专精特新、中盘股、昨日高振幅、国家大基金持股、氮化镓、深成500、存储芯片、华为概念、东方财富热股、中芯概念、光刻机/胶、百日新高 、磷化工、OLED、富时罗素、电子特气、MSCI中国、题材股、融资融券、深股通、近期新高、中盘成长、中证500、半导体概念、氟化工概念、第四代半导体、光伏概念、新材料、历史新高 、工业气体、创业板综、股权激励、长江三角,-2.280,78.55,72.81,16.62,1.20,1.09亿,103.95,15.1598,516.43亿,490.16亿
69,688347,华虹宏力,330.36,4.54,A股,华虹宏力,80.77亿,电子-半导体-集成电路制造,电子-半导体-集成电路制造,国产芯片、融资融券、昨日高振幅、近期新高、国家大基金持股、上证380、中证500、沪股通、半导体概念、存储芯片、大盘股、消费电子概念、大盘成长、历史新高 、央国企改革、百日新高 、科技风格、MSCI中国、沪企改革,14.350,336.00,308.20,6.08,0.93,2480.68万,1028.29,12.6869,5740.44亿,1347.04亿
70,300857,协创数据,341.98,0.53,A股,协创数据,79.77亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,国产芯片、贬值受益、网络游戏、短剧互动游戏、存储芯片、深圳特区、深成500、AI智能体、智能穿戴、大盘成长、腾讯概念、2026一季报预增、AI应用、物联网、阿里概念、云游戏、机器人概念、融资融券、AIGC概念、智能音箱、数据中心、英伟达概念、大数据、光芯片、粤港澳大湾区、5G概念、东数西算、昨日高振幅、光通信模块、车联网、小米概念、通信技术、消费电子概念、跨境电商、算力租赁、百日新高 、智能家居、CPO概念、DeepSeek概念、人工智能、科技风格、2025年报预增、MSCI中国、人脸识别、云计算、安防概念、AI眼镜、深股通、算力概念、近期新高、中证500、净水概念、大盘股、人形机器人、历史新高 、创业板综、汽车电子、EDR概念,1.790,355.55,333.39,4.82,0.70,2346.18万,55.76,32.6921,1673.52亿,1664.96亿
71,002600,领益智造,17.88,1.25,A股,领益智造,79.49亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,深证100R、AIPC、贬值受益、3D打印、深成500、东方财富热股、智能穿戴、太空算力、碳纤维、富时罗素、无线充电、机器人概念、稀土永磁、融资融券、低空经济、液冷概念、昨日首板、无人机、商业航天、苹果概念、智能音箱、英伟达概念、光伏概念、AI手机代工、无线耳机、5G概念、昨日高振幅、磁材加工、新能源车、灵巧手、标准普尔、柔性屏、华为概念、小米概念、最近多板、消费电子概念、HS300_、2025三季报预增、CPO概念、人工智能、混合现实、科技风格、富士康概念、MSCI中国、AI手机、激光雷达、AI眼镜、深股通、充电桩、虚拟现实、大盘股、新材料、人形机器人、比亚迪概念、增强现实、海峡两岸、光伏逆变器、减速器,0.220,18.28,17.51,6.17,1.44,4.44亿,83.41,5.3889,1306.71亿,1287.31亿
72,002491,通鼎互联,38.50,3.91,A股,通鼎互联,78.50亿,通信-通信设备-通信线缆及配套,通信-通信设备-通信线缆及配套,光纤光缆、专精特新、5G概念、昨日高振幅、北交所概念、光通信模块、标准普尔、最近多板、通信技术、东方财富热股、趋势股、固态电池、百日新高 、独角兽、富时罗素、题材股、数据安全、融资融券、数字水印、深股通、近期新高、网络安全、数据中心、小盘股、历史新高 、光纤概念、小盘成长、长江三角、大数据,1.450,39.71,37.00,17.51,1.39,2.06亿,230.89,18.7892,473.55亿,452.94亿
73,603629,利通电子,207.88,-5.08,A股,利通电子,77.69亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,军工、国产芯片、题材股、东数西算、昨日高振幅、液冷概念、算力概念、昨日触板、沪股通、华为概念、小米概念、东方财富热股、小盘股、英伟达概念、消费电子概念、腾讯概念、算力租赁、毫米波概念、人工智能、昨日炸板、OLED、2025年报预增、小盘成长、云计算,-11.120,225.85,205.60,14.11,1.01,3641.36万,50.25,24.2926,545.31亿,536.39亿
74,688498,源杰科技,1875.00,2.01,A股,源杰科技,74.83亿,电子-半导体-分立器件,电子-半导体-分立器件,国产芯片、光芯片、融资融券、5G概念、西部大开发、2025年报扭亏、光通信模块、上证380、中证500、沪股通、半导体概念、大盘股、华为概念、通信技术、数据中心、趋势股、大盘成长、光纤概念、CPO概念、科技风格、汽车芯片、MSCI中国,37.000,1898.00,1777.94,3.29,0.88,403.80万,325.23,94.7103,2334.38亿,2304.23亿
75,000977,浪潮信息,68.57,5.82,A股,浪潮信息,73.83亿,计算机-计算机设备-其他计算机设备,计算机-计算机设备-其他计算机设备,国产芯片、国资云概念、数据中心液冷、东数西算、深证100R、数字经济、元宇宙概念、抖音概念、车联网、水利建设、标准普尔、深成500、HS300_、大盘成长、腾讯概念、信创、CDU、算力租赁、央国企改革、百度概念、边缘计算、DeepSeek概念、人工智能、无人驾驶、国产操作系统、中国AI 50、科技风格、富时罗素、MSCI中国、云计算、融资融券、液冷概念、腾讯系算力、深股通、算力概念、AIGC概念、智慧城市、大盘股、网络安全、数据中心、英伟达概念、国产软件、大数据,3.770,69.08,63.75,7.53,1.72,1.10亿,41.62,4.5268,1006.93亿,1005.81亿
76,688766,普冉股份,754.15,1.91,A股,普冉股份,73.52亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、中盘股、融资融券、昨日高振幅、近期新高、中盘成长、沪股通、半导体概念、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、历史新高 、智能家居、百日新高 、科技风格、汽车芯片、MCU芯片、物联网、无线耳机、汽车电子,14.150,815.56,733.33,6.44,1.00,957.67万,111.65,41.6174,1121.45亿,1121.45亿
77,002409,雅克科技,181.03,4.61,A股,雅克科技,73.10亿,电子-半导体-半导体材料,电子-半导体-半导体材料,国产芯片、专精特新、中盘股、海工装备、昨日高振幅、国家大基金持股、存储芯片、标准普尔、深成500、最近多板、东方财富热股、中芯概念、高带宽内存、光刻机/胶、百日新高 、磷化工、OLED、富时罗素、电子特气、天然气、MSCI中国、题材股、融资融券、深股通、近期新高、中盘成长、中证500、半导体概念、特高压、先进封装、氟化工概念、历史新高 、工业气体,7.980,186.50,172.00,12.79,1.19,4075.47万,80.77,10.8324,861.57亿,576.62亿
78,600206,有研新材,56.16,8.50,A股,有研新材,72.93亿,电子-半导体-半导体材料,电子-半导体-半导体材料,国产芯片、5G概念、昨日高振幅、磁材加工、国家大基金持股、长江存储、3D打印、存储芯片、标准普尔、华为概念、通信技术、东方财富热股、尾气治理、昨日高换手、趋势股、2025三季报预增、中芯概念、京津冀一体化、央国企改革、百日新高 、OLED、小金属概念、富时罗素、牙科医疗、2025年报预增、题材股、军工、稀土永磁、雄安新区、医疗器械概念、融资融券、近期新高、沪股通、半导体概念、先进封装、新能源、小盘股、新材料、历史新高 、光纤概念、先进封装材料、传感器,4.400,56.90,49.80,16.18,0.99,1.37亿,134.65,11.1508,475.42亿,475.42亿
79,002938,鹏鼎控股,114.14,7.27,A股,鹏鼎控股,71.76亿,电子-元件-印制电路板,电子-元件-印制电路板,周期股、两岸合作、深证100R、AIPC、贬值受益、光通信模块、新能源车、标准普尔、深圳特区、深成500、华为概念、通信技术、智能穿戴、消费电子概念、HS300_、AI手机结构件、CPO概念、无人驾驶、科技风格、富时罗素、富士康概念、MSCI中国、AI手机、融资融券、AI眼镜、深股通、虚拟现实、智能座舱、商业航天、半导体概念、大盘股、苹果概念、PCB、人形机器人、海峡两岸、无线耳机、汽车电子、MiniLED、通信PCB,7.740,117.00,104.00,2.77,0.95,6400.83万,142.91,8.1814,2645.24亿,2635.93亿
80,000960,锡业股份,44.42,-4.68,A股,锡业股份,70.92亿,有色金属-小金属-其他小金属,有色金属-小金属-其他小金属,金属铜、中盘价值、中盘股、稀缺资源、融资融券、西部大开发、昨日高振幅、深股通、化债概念、中证500、标准普尔、深成500、东方财富热股、金属锌、金属钨、2026一季报预增、央国企改革、金属铅、小金属概念、富时罗素、MSCI中国、金属铟,-2.180,47.86,44.13,9.49,1.20,1.56亿,21.06,3.5990,730.90亿,730.90亿
81,605358,立昂微,70.50,4.91,A股,立昂微,70.76亿,电子-半导体-半导体材料,电子-半导体-半导体材料,国产芯片、光芯片、专精特新、5G概念、IGBT概念、昨日高振幅、新能源车、第三代半导体、氮化镓、存储芯片、通信技术、中芯概念、CPO概念、人工智能、无人驾驶、物联网、电网概念、机器人概念、卫星互联网、融资融券、充电桩、中证500、商业航天、沪股通、硅能源、半导体概念、小盘股、光伏概念、人形机器人、卫星导航、比亚迪概念、智能电网、半导体硅片、汽车芯片、汽车电子,3.300,70.50,65.50,13.33,1.22,1.03亿,1883.84,5.2518,544.40亿,544.40亿
