序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,涨跌幅(%) 2026.06.22,成交额(元) 2026.06.22,成交额(元) 2026.06.26,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
39,601899,XD紫金矿,25.10,-1.72,A股,2.53,116.02亿,89.39亿,有色金属-工业金属-铜,紫金矿业,有色金属-工业金属-铜,周期股、上证180_、证金持股、贬值受益、金属钴、黄金加工、标准普尔、黄金开采、金属锌、HS300_、盐湖提锂、央国企改革、金属铅、小金属概念、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、福建自贸区、权重股、稀缺资源、融资融券、行业龙头、沪股通、大盘股、氢能源、铜矿、上证50_、一带一路、锂电池概念、锂矿概念,-0.440,25.90,24.86,1.71,0.84,3.53亿,8.31,3.5225,6674.27亿,5171.05亿
40,600498,烽火通信,76.22,-10.00,A股,9.63,114.89亿,92.10亿,通信-通信设备-通信网络设备及器件,烽火通信,通信-通信设备-通信网络设备及器件,国产芯片、国资云概念、中盘股、海工装备、AI智能体、空芯光纤、华为昇腾、富时罗素、华为鲲鹏、数据要素、题材股、智慧政务、融资融券、液冷概念、中盘成长、上证380、F5G概念、商业航天、特高压、网络安全、华为系算力、数据中心、卫星导航、光纤概念、汽车芯片、智能医疗、湖北三资改革、大数据、湖北自贸、光纤光缆、数据中心液冷、5G概念、东数西算、IPv6、昨日高振幅、光通信模块、数字乡村、标准普尔、通信技术、创投、央国企改革、CPO概念、DeepSeek概念、人工智能、科技风格、MCU芯片、MSCI中国、卫星互联网、云计算、数据安全、6G概念、算力概念、中证500、沪股通、智慧城市、一带一路、中特估、WiFi6,-8.470,83.98,76.22,9.27,0.95,1.18亿,674.09,5.8911,1035.20亿,969.23亿
41,000063,中兴通讯,35.67,-7.21,A股,4.06,113.95亿,85.38亿,通信-通信设备-通信网络设备及器件,中兴通讯,通信-通信设备-通信网络设备及器件,国产芯片、屏下摄像、区块链、多模态AI、深证100R、乡村振兴、数字经济、抖音概念、深圳特区、深成500、AI智能体、AI芯片、交换机、智能穿戴、腾讯概念、边缘计算、AI应用、量子通信、中国AI 50、国产操作系统、富时罗素、无线充电、物联网、机器人概念、低空经济、融资融券、液冷概念、超清视频、无人机、ChatGPT概念、商业航天、网络安全、数据中心、AI手机代工、卫星导航、光纤概念、星闪概念、大盘价值、汽车芯片、智能医疗、无线耳机、粤港澳大湾区、数据中心液冷、5G概念、东数西算、IPv6、通感一体化、证金持股、元宇宙概念、DPU、新能源车、水利建设、车联网、工业互联、标准普尔、通信技术、消费电子概念、HS300_、信创、百度概念、在线教育、DeepSeek概念、人工智能、科技风格、MSCI中国、AI手机、量子科技、卫星互联网、云计算、6G概念、AI眼镜、深股通、算力概念、空管系统、虚拟现实、智慧城市、大盘股、人形机器人、比亚迪概念、锂电池概念、海峡两岸、太赫兹、汽车电子,-2.770,37.79,35.67,5.82,1.04,2.35亿,32.55,2.2250,1706.29亿,1436.65亿
42,002436,兴森科技,51.81,-3.21,A股,2.38,113.83亿,74.22亿,电子-元件-印制电路板,兴森科技,电子-元件-印制电路板,国产芯片、粤港澳大湾区、中盘股、5G概念、昨日高振幅、光通信模块、标准普尔、深圳特区、深成500、存储芯片、华为概念、军民融合、通信技术、互联网金融、高带宽内存、毫米波概念、CPO概念、科技风格、富时罗素、机器人概念、卫星互联网、军工、6G概念、低空经济、融资融券、2025年报扭亏、深股通、中证500、商业航天、半导体概念、先进封装、PCB、玻璃基板、6G元器件、先进封装材料、通信PCB,-1.720,54.79,49.92,9.36,0.74,1.42亿,1174.47,16.6579,880.60亿,786.44亿
43,000636,风华高科,78.50,-1.41,A股,-2.17,113.64亿,111.87亿,电子-元件-被动元件,风华高科,电子-元件-被动元件,粤港澳大湾区、中盘股、5G概念、东数西算、高压快充、深成500、华为概念、最近多板、通信技术、东方财富热股、电池技术、趋势股、创投、智能穿戴、央国企改革、CPO概念、超级电容、科技风格、小金属概念、MLCC、机器人概念、题材股、融资融券、低空经济、AI眼镜、液冷概念、深股通、虚拟机器人、无人机、中盘成长、商业航天、被动元件概念、光伏概念、卫星导航、锂电池概念、比亚迪概念、传感器、汽车电子,-1.120,80.53,77.34,12.27,1.02,1.42亿,256.40,7.2760,908.26亿,908.26亿
44,002185,华天科技,22.56,0.71,A股,4.23,113.46亿,150.98亿,电子-半导体-集成电路封测,华天科技,电子-半导体-集成电路封测,国产芯片、中盘股、5G概念、西部大开发、昨日高振幅、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、通信技术、东方财富热股、昨日高换手、高带宽内存、CPO概念、毫米波概念、人工智能、无人驾驶、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、深股通、智能座舱、中证500、半导体概念、先进封装、比亚迪概念、先进封装材料、汽车芯片、传感器、汽车电子,0.160,23.86,21.71,19.84,1.27,6.59亿,215.98,4.2017,749.76亿,749.59亿
45,001309,德明利,951.00,6.73,A股,3.52,110.27亿,199.76亿,电子-半导体-数字芯片设计,德明利,电子-半导体-数字芯片设计,国产芯片、光芯片、粤港澳大湾区、专精特新、5G概念、AIPC、昨日高振幅、2026一季报扭亏、贬值受益、长江存储、存储芯片、深成500、最近多板、通信技术、东方财富热股、智能穿戴、大盘成长、信创、中芯概念、百日新高 、CPO概念、人工智能、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、近期新高、中证500、半导体概念、大盘股、数据中心、历史新高 、汽车电子,60.000,980.00,872.31,13.56,1.26,2187.35万,16.12,32.5711,2157.30亿,1534.21亿
46,688012,中微公司,413.00,3.48,A股,3.54,105.51亿,131.53亿,电子-半导体-半导体设备,中微公司,电子-半导体-半导体设备,国产芯片、LED概念、区块链、上证180_、国家大基金持股、工业互联、存储芯片、HS300_、大盘成长、中芯概念、高带宽内存、科创板做市股、百日新高 、科技风格、富时罗素、MSCI中国、宁组合、融资融券、近期新高、沪股通、半导体概念、大盘股、先进封装、上证50_、历史新高 、股权激励、先进封装设备、长江三角、MiniLED,13.870,423.80,393.24,3.41,1.08,3195.23万,105.71,15.2755,3934.59亿,3891.27亿
47,300014,亿纬锂能,62.21,-6.89,A股,5.36,102.90亿,59.34亿,电力设备-电池-锂电池,亿纬锂能,电力设备-电池-锂电池,钠离子电池、粤港澳大湾区、胎压监测、周期股、深证100R、电子烟、新能源车、深成500、先进制造风格、华为概念、小米概念、长安汽车概念、消费电子概念、电池技术、HS300_、固态电池、储能概念、盐湖提锂、富时罗素、MSCI中国、脑机接口、机器人概念、动力电池回收、安防概念、宁组合、低空经济、融资融券、充电桩、深股通、无人机、两轮车、商业航天、大盘股、硫化物、氢能源、人形机器人、锂电池概念、茅指数、智能电网、创业板综、锂矿概念、无线耳机、飞行汽车,-4.600,67.53,62.10,4.39,0.90,9264.11万,23.37,2.8078,1352.01亿,1314.18亿
48,300223,北京君正,233.21,-1.75,A股,3.60,101.83亿,137.41亿,电子-半导体-数字芯片设计,北京君正,电子-半导体-数字芯片设计,国产芯片、中盘股、区块链、鸿蒙概念、贬值受益、抖音概念、CPU、3D打印、存储芯片、深成500、小米概念、最近多板、智能穿戴、消费电子概念、京津冀一体化、SRAM存储、智能家居、毫米波概念、人工智能、无人驾驶、OLED、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、人脸识别、机器人概念、题材股、安防概念、融资融券、AI眼镜、深股通、超清视频、智能座舱、中证500、半导体概念、智能音箱、机器视觉、3D打印设备、创业板综、汽车芯片、传感器、DRAM存储、汽车电子、MiniLED,-4.150,242.00,229.00,13.83,1.11,5831.40万,88.40,8.8973,1127.95亿,983.43亿
49,600549,厦门钨业,84.50,-1.58,A股,10.00,100.49亿,80.77亿,有色金属-小金属-钨,厦门钨业,有色金属-小金属-钨,昨日高振幅、上证180_、金属钴、标准普尔、宁德时代概念、电池技术、趋势股、HS300_、固态电池、央国企改革、独角兽、小金属概念、富时罗素、MLCC、MSCI中国、机器人概念、动力电池回收、军工、稀土永磁、福建自贸区、稀缺资源、融资融券、无人机、偏滤器、沪股通、商业航天、大盘股、稀土开采、氢能源、光伏概念、新材料、可控核聚变、金属钨、锂电池概念、海峡两岸,-1.360,89.68,83.62,6.03,0.78,9367.33万,30.30,7.5941,1341.51亿,1313.07亿
50,600392,盛和资源,30.12,-6.46,A股,8.91,99.01亿,48.05亿,有色金属-小金属-稀土,盛和资源,有色金属-小金属-稀土,稀土永磁、中盘股、融资融券、西部大开发、昨日高振幅、中盘成长、上证380、中证500、参股保险、沪股通、标准普尔、苹果概念、冶炼分离、趋势股、2025三季报预增、央国企改革、小金属概念、富时罗素、2025年报预增、MSCI中国,-2.080,32.54,30.10,8.84,0.66,1.55亿,40.32,4.1025,527.95亿,527.95亿
51,300033,同花顺,242.00,-6.56,A股,14.91,98.39亿,66.93亿,计算机-软件开发-垂直应用软件,同花顺,计算机-软件开发-垂直应用软件,区块链、多模态AI、鸿蒙概念、深证100R、证金持股、深成500、AI智能体、HS300_、大盘成长、互联网金融、AI应用、人工智能、科技风格、富时罗素、2025年报预增、AI语料、MSCI中国、云计算、数据要素、融资融券、行业龙头、深股通、虚拟机器人、AIGC概念、ChatGPT概念、券商概念、大盘股、国产软件、创业板综、智能医疗、长江三角、大数据,-17.000,259.47,241.26,6.14,0.83,2692.82万,177.91,42.8779,1821.39亿,1060.95亿
52,002938,鹏鼎控股,110.98,-2.77,A股,-5.77,94.55亿,54.89亿,电子-元件-印制电路板,鹏鼎控股,电子-元件-印制电路板,周期股、两岸合作、深证100R、AIPC、昨日高振幅、贬值受益、光通信模块、新能源车、标准普尔、深圳特区、深成500、华为概念、通信技术、智能穿戴、消费电子概念、HS300_、AI手机结构件、CPO概念、无人驾驶、科技风格、富时罗素、富士康概念、MSCI中国、AI手机、融资融券、AI眼镜、深股通、虚拟现实、智能座舱、商业航天、半导体概念、大盘股、苹果概念、PCB、人形机器人、海峡两岸、无线耳机、汽车电子、MiniLED、通信PCB,-3.160,117.00,108.29,2.11,0.73,4878.15万,138.96,7.9549,2572.00亿,2562.95亿
53,002491,通鼎互联,36.15,-6.10,A股,7.66,93.82亿,67.13亿,通信-通信设备-通信线缆及配套,通鼎互联,通信-通信设备-通信线缆及配套,题材股、光纤光缆、数据安全、专精特新、5G概念、融资融券、数字水印、昨日高振幅、北交所概念、深股通、光通信模块、标准普尔、网络安全、通信技术、数据中心、小盘股、昨日高换手、趋势股、固态电池、光纤概念、独角兽、富时罗素、长江三角、大数据,-2.350,38.11,34.65,15.88,1.23,1.87亿,216.80,17.6423,444.64亿,425.29亿
54,300570,太辰光,234.10,-9.37,A股,4.68,92.71亿,77.86亿,通信-通信设备-通信网络设备及器件,太辰光,通信-通信设备-通信网络设备及器件,国产芯片、中盘股、5G概念、融资融券、深股通、算力概念、贬值受益、光通信模块、中盘成长、中证500、F5G概念、深圳特区、深成500、铜缆高速连接、MPO连接器、通信技术、数据中心、光纤概念、CPO概念、创业板综、物联网、传感器,-24.210,245.00,225.00,17.37,1.19,3338.34万,202.08,30.0572,531.70亿,449.92亿
55,600105,永鼎股份,65.71,-9.94,A股,2.54,92.70亿,103.21亿,通信-通信设备-通信线缆及配套,永鼎股份,通信-通信设备-通信线缆及配套,国产芯片、光纤光缆、光芯片、专精特新、中盘股、5G概念、海工装备、东数西算、昨日高振幅、光通信模块、新能源车、工业互联、3D打印、磁悬浮概念、标准普尔、华为概念、通信技术、东方财富热股、趋势股、核能核电、CPO概念、科技风格、富时罗素、超导材料、2025年报预增、MSCI中国、题材股、数据安全、军工、融资融券、低空经济、华为汽车、中盘成长、中证500、沪股通、商业航天、网络安全、数据中心、超导概念、可控核聚变、一带一路、光纤概念、比亚迪概念、3D打印设备、长江三角、风能、参股银行、大数据,-7.250,73.90,65.66,10.43,1.09,1.52亿,151.22,29.1443,960.68亿,960.68亿
56,600667,太极实业,26.88,6.20,A股,7.89,92.50亿,144.89亿,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,太极实业,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,国产芯片、昨日高振幅、存储芯片、标准普尔、工程建设、东方财富热股、昨日高换手、趋势股、央国企改革、百日新高 、OLED、富时罗素、题材股、融资融券、近期新高、昨日触板、上证380、沪股通、绿色电力、半导体概念、先进封装、数据中心、光伏概念、小盘股、历史新高 、昨日炸板、小盘成长、昨日打二板以上表现、长江三角、光伏建筑一体化,1.570,27.84,26.20,25.24,2.00,5.28亿,108.85,6.5321,562.21亿,562.21亿
57,002709,天赐材料,50.01,-9.40,A股,8.35,92.28亿,60.39亿,电力设备-电池-电池化学品,天赐材料,电力设备-电池-电池化学品,钠离子电池、六氟磷酸锂、周期股、深证100R、昨日高振幅、新能源车、标准普尔、深成500、宁德时代概念、先进制造风格、电池技术、HS300_、固态电池、富时罗素、2025年报预增、PEEK材料概念、MSCI中国、动力电池回收、融资融券、深股通、大盘股、氟化工概念、氢能源、硫化物、新材料、锂电池概念、比亚迪概念、有机硅概念、大盘价值、氢氟酸、特斯拉概念,-5.190,55.95,49.96,7.56,0.92,1.14亿,15.41,5.5189,1019.48亿,754.66亿
58,000657,中钨高新,99.51,-5.84,A股,10.00,88.84亿,96.92亿,有色金属-小金属-钨,中钨高新,有色金属-小金属-钨,周期股、工业母机、深证100R、乡村振兴、昨日高振幅、海南自贸、金属钴、雅下水电概念、深成500、创投、趋势股、HS300_、2026一季报预增、央国企改革、DeepSeek概念、小金属概念、富时罗素、中字头、MSCI中国、题材股、军工、金属铜、医疗器械概念、融资融券、深股通、养老金、金属回收、大盘股、PCB、光伏概念、新材料、可控核聚变、金属钨、高端装备、盾构机,-6.170,109.68,99.00,6.45,0.87,9369.42万,61.54,21.2225,2267.44亿,1445.81亿
59,300666,江丰电子,354.78,7.51,A股,-0.79,88.52亿,95.01亿,电子-半导体-半导体材料,江丰电子,电子-半导体-半导体材料,国产芯片、中盘股、共同富裕示范区、昨日高振幅、第三代半导体、存储芯片、深成500、华为概念、东方财富热股、趋势股、中芯概念、百日新高 、光刻机/胶、碳纤维、OLED、科技风格、富时罗素、题材股、融资融券、深股通、近期新高、中盘成长、中证500、半导体概念、光伏概念、新材料、历史新高 、海峡两岸、创业板综、中韩自贸区,24.780,366.65,324.48,12.32,1.11,2724.93万,116.70,14.0140,979.09亿,784.47亿
60,000021,深科技,53.51,0.58,A股,5.99,87.91亿,124.63亿,电子-消费电子-消费电子零部件及组装,深科技,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、区块链、昨日高振幅、数字经济、贬值受益、新能源车、光通信模块、第三代半导体、存储芯片、标准普尔、深圳特区、深成500、东方财富热股、消费电子概念、储能概念、央国企改革、CPO概念、超级电容、富时罗素、物联网、MSCI中国、电网概念、机器人概念、题材股、医疗器械概念、融资融券、深股通、虚拟电厂、无人机、中证500、半导体概念、先进封装、智能电网、先进封装材料、智能物流、汽车电子、DRAM存储,0.310,57.63,52.22,14.44,1.17,2.27亿,86.97,6.4734,842.45亿,842.32亿
61,601318,中国平安,47.23,-4.20,A股,5.27,87.60亿,68.24亿,非银金融-保险Ⅱ-保险Ⅲ,中国平安,非银金融-保险Ⅱ-保险Ⅲ,区块链、周期股、上证180_、证金持股、互联网保险、标准普尔、深圳特区、红利破净股、HS300_、互联网金融、独角兽、央视50_、富时罗素、金融地产风格、MSCI中国、互联医疗、红利股、权重股、融资融券、家庭医生、沪股通、参股券商、大盘股、养老概念、IPO受益、上证50_、大盘价值、智能医疗、参股银行,-2.070,49.49,47.20,1.34,0.96,1.43亿,8.54,0.8668,8552.24亿,5034.75亿
62,688498,源杰科技,1776.91,-5.23,A股,11.96,86.57亿,86.93亿,电子-半导体-分立器件,源杰科技,电子-半导体-分立器件,国产芯片、光芯片、融资融券、5G概念、西部大开发、2025年报扭亏、光通信模块、上证380、中证500、沪股通、半导体概念、大盘股、华为概念、通信技术、数据中心、趋势股、大盘成长、光纤概念、CPO概念、科技风格、汽车芯片、MSCI中国,-98.090,1834.72,1730.00,3.96,1.08,486.20万,308.21,89.7556,2212.26亿,2183.68亿
63,600362,江西铜业,42.39,-6.69,A股,2.91,84.63亿,33.52亿,有色金属-工业金属-铜,江西铜业,有色金属-工业金属-铜,周期股、昨日高振幅、上证180_、证金持股、黄金加工、标准普尔、黄金开采、电池技术、HS300_、央国企改革、小金属概念、富时罗素、MSCI中国、黄金概念、金属铜、稀缺资源、融资融券、沪股通、金属回收、参股券商、大盘股、PCB、铜矿、新材料、一带一路、锂电池概念、大盘价值、参股银行,-3.040,46.08,42.20,3.70,0.70,7672.35万,13.02,1.7452,1467.85亿,879.70亿
64,688126,沪硅产业,34.86,4.65,A股,5.28,84.36亿,92.18亿,电子-半导体-半导体材料,沪硅产业,电子-半导体-半导体材料,国产芯片、融资融券、上证180_、国家大基金持股、贬值受益、沪股通、半导体概念、存储芯片、大盘股、东方财富热股、趋势股、HS300_、中芯概念、科技风格、半导体硅片、MSCI中国,1.550,36.06,32.36,9.35,1.32,2.66亿,-59.62,6.8444,1152.13亿,990.76亿
65,300757,罗博特科,587.90,-9.13,A股,-8.56,84.04亿,51.65亿,机械设备-自动化设备-其他自动化设备,罗博特科,机械设备-自动化设备-其他自动化设备,国产芯片、专精特新、中盘股、光通信模块、新能源车、工业互联、深成500、新型工业化、先进制造风格、华为概念、TOPCON电池、通信技术、边缘计算、CPO概念、富士康概念、MSCI中国、量子科技、BC电池、华为海思、融资融券、深股通、卫星通信、中盘成长、中证500、商业航天、半导体概念、苹果概念、数据中心、英伟达概念、光伏概念、HJT电池、光纤概念、创业板综、高端装备,-59.100,643.36,587.00,5.22,0.89,847.90万,-634.61,60.6138,985.37亿,955.73亿
66,300548,长芯博创,262.65,-6.83,A股,5.71,83.15亿,56.82亿,通信-通信设备-通信网络设备及器件,长芯博创,通信-通信设备-通信网络设备及器件,国产芯片、光芯片、专精特新、中盘股、5G概念、光通信模块、抖音概念、深成500、铜缆高速连接、华为概念、通信技术、AEC有源电缆、CPO概念、科技风格、2025年报预增、MSCI中国、机器人概念、融资融券、深股通、中盘成长、中证500、F5G概念、数据中心、机器视觉、光纤概念、创业板综、长江三角,-19.250,286.48,262.31,7.66,0.88,2086.99万,148.75,36.3126,773.91亿,715.36亿
67,600460,士兰微,50.38,1.04,A股,7.10,82.75亿,95.39亿,电子-半导体-分立器件,士兰微,电子-半导体-分立器件,国产芯片、LED概念、中盘股、共同富裕示范区、IGBT概念、昨日高振幅、国家大基金持股、新能源车、第三代半导体、氮化镓、标准普尔、华为概念、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、OLED、富时罗素、MCU芯片、2025年报预增、MSCI中国、题材股、融资融券、中盘成长、上证380、沪股通、半导体概念、碳化硅、先进封装、光伏概念、比亚迪概念、汽车芯片、长江三角、风能、传感器、汽车电子、MiniLED,0.520,53.80,49.33,11.17,1.09,1.86亿,100.36,6.8735,838.36亿,838.36亿
68,601991,大唐发电,7.32,-2.01,A股,1.82,82.56亿,52.56亿,公用事业-电力-火力发电,大唐发电,公用事业-电力-火力发电,融资融券、昨日高振幅、上证380、中证500、沪股通、绿色电力、雅下水电概念、标准普尔、大盘股、新能源、光伏概念、核能核电、央国企改革、富时罗素、2025年报预增、MSCI中国、风能,-0.150,7.87,7.17,5.63,0.82,6.98亿,11.70,3.6787,1354.69亿,907.39亿
69,603083,剑桥科技,245.92,-5.56,A股,10.00,81.47亿,59.84亿,通信-通信设备-通信终端及配件,剑桥科技,通信-通信设备-通信终端及配件,中盘股、5G概念、昨日高振幅、贬值受益、光通信模块、工业互联、新型工业化、华为概念、通信技术、信创、智能家居、边缘计算、CPO概念、科技风格、2025年报预增、物联网、MSCI中国、融资融券、液冷概念、中盘成长、上证380、F5G概念、沪股通、一带一路、股权激励、WiFi6、WiFi,-14.480,259.88,242.50,8.68,0.73,2393.17万,191.33,12.1331,905.60亿,677.73亿
70,300319,麦捷科技,31.00,3.06,A股,13.94,80.42亿,59.78亿,电子-元件-被动元件,麦捷科技,电子-元件-被动元件,国产芯片、粤港澳大湾区、5G概念、东数西算、新能源车、深圳特区、存储芯片、华为概念、小米概念、通信技术、昨日高换手、趋势股、智能穿戴、消费电子概念、深圳国企改革、央国企改革、CPO概念、摩尔链、富时罗素、物联网、阿里概念、机器人概念、融资融券、AI眼镜、充电桩、深股通、算力概念、无人机、被动元件概念、小盘股、英伟达概念、人形机器人、比亚迪概念、创业板综、小盘成长、汽车电子,0.920,33.30,30.59,21.92,0.93,1.87亿,145.90,5.6910,275.15亿,263.89亿
71,002371,北方华创,813.37,1.93,A股,3.32,79.64亿,100.09亿,电子-半导体-半导体设备,北方华创,电子-半导体-半导体设备,国产芯片、深证100R、国家大基金持股、长江存储、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、东方财富热股、电池技术、HS300_、大盘成长、中芯概念、高带宽内存、光刻机/胶、央国企改革、百日新高 、中国AI 50、OLED、科技风格、富时罗素、MSCI中国、宁组合、权重股、华为海思、融资融券、深股通、近期新高、半导体概念、大盘股、光伏概念、历史新高 、锂电池概念、茅指数,15.370,828.00,782.17,1.71,1.10,1240.31万,90.27,15.2357,5902.54亿,5897.83亿
72,002916,深南电路,433.50,-4.73,A股,0.78,79.29亿,48.67亿,电子-元件-印制电路板,深南电路,电子-元件-印制电路板,国产芯片、粤港澳大湾区、5G概念、周期股、深证100R、昨日高振幅、国家大基金持股、新能源车、存储芯片、标准普尔、深圳特区、深成500、华为概念、通信技术、HS300_、大盘成长、央国企改革、科技风格、富时罗素、富士康概念、2025年报预增、MSCI中国、融资融券、深股通、养老金、大盘股、苹果概念、先进封装、PCB、数据中心、中特估、服务器PCB、汽车电子、通信PCB,-21.500,448.80,420.47,1.68,0.71,1119.99万,86.83,17.9443,2952.86亿,2881.95亿
73,002407,多氟多,41.51,-5.21,A股,10.01,79.06亿,71.95亿,基础化工-化学制品-氟化工,多氟多,基础化工-化学制品-氟化工,钠离子电池、国产芯片、六氟磷酸锂、中盘股、昨日高振幅、化工原料、新能源车、第三代半导体、工业互联、标准普尔、深成500、存储芯片、东方财富热股、创投、昨日高换手、电池技术、固态电池、储能概念、核能核电、中芯概念、PVDF概念、独角兽、富时罗素、动力电池回收、中盘价值、数字孪生、融资融券、2025年报扭亏、深股通、中证500、硅能源、半导体概念、氟化工概念、新材料、锂电池概念、比亚迪概念、氢氟酸、股权激励、特斯拉概念,-2.280,44.68,41.35,15.57,0.80,1.68亿,32.90,5.7868,494.15亿,447.80亿
74,688521,芯原股份,336.00,-0.61,A股,3.65,78.35亿,89.07亿,电子-半导体-数字芯片设计,芯原股份,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、国家大基金持股、GPU、AI芯片、HS300_、大盘成长、腾讯概念、人工智能、无人驾驶、科技风格、MCU芯片、物联网、MSCI中国、阿里概念、AI手机、上海自贸、融资融券、AI眼镜、数字货币、虚拟现实、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、智能音箱、汽车芯片,-2.050,347.78,321.85,5.08,0.92,2672.28万,-129.61,56.1511,1767.08亿,1767.08亿
75,688017,绿的谐波,369.46,-5.51,A股,-3.60,76.81亿,46.05亿,机械设备-自动化设备-机器人,绿的谐波,机械设备-自动化设备-机器人,专精特新、中盘股、医疗器械概念、融资融券、中盘成长、上证380、中证500、沪股通、半导体概念、新型工业化、先进制造风格、新能源、人形机器人、中国AI 50、2025年报预增、减速器、机器人执行器、机器人概念,-21.540,396.76,368.95,6.62,0.78,1213.05万,518.88,18.9791,677.33亿,677.33亿
76,301526,国际复材,52.27,9.17,A股,1.74,75.69亿,92.27亿,建筑材料-玻璃玻纤-玻纤制造,国际复材,建筑材料-玻璃玻纤-玻纤制造,中盘股、5G概念、西部大开发、数字经济、工业互联、深成500、华为概念、通信技术、东方财富热股、趋势股、消费电子概念、央国企改革、百日新高 、PEEK材料概念、题材股、融资融券、2025年报扭亏、深股通、近期新高、中盘成长、中证500、华为手机、电子布、绿色电力、特高压、PCB、光伏概念、历史新高 、一带一路、创业板综、风能、汽车电子,4.390,54.10,48.84,12.67,0.96,1.78亿,182.38,23.2974,1971.04亿,734.08亿
77,000100,TCL科技,5.40,1.12,A股,-0.20,75.25亿,133.20亿,电子-光学光电子-面板,TCL科技,电子-光学光电子-面板,屏下摄像、国产芯片、粤港澳大湾区、周期股、电子纸概念、深证100R、昨日高振幅、AIPC、证金持股、工业互联、标准普尔、深成500、柔性屏、AI芯片、华为概念、小米概念、最近多板、东方财富热股、消费电子概念、HS300_、MicroLED、百日新高 、超级品牌、OLED、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、AI眼镜、显示技术、深股通、近期新高、虚拟现实、绿色电力、硅能源、半导体概念、大盘股、PCB、光伏概念、比亚迪概念、参股银行、MiniLED,0.060,5.67,5.29,12.76,1.55,24.40亿,18.04,1.8470,1123.25亿,1033.13亿
78,300390,天华新能,86.19,-9.25,A股,3.15,73.35亿,61.23亿,电力设备-电池-电池化学品,天华新能,电力设备-电池-电池化学品,国产芯片、中盘股、昨日高振幅、新能源车、深成500、存储芯片、宁德时代概念、先进制造风格、华为概念、电池技术、固态电池、储能概念、中芯概念、2026一季报预增、独角兽、小金属概念、富时罗素、MSCI中国、中盘价值、医疗器械概念、融资融券、深股通、2025年报预减、中证500、半导体概念、反内卷概念、硫化物、锂电池概念、创业板综、锂矿概念、富锂锰基,-8.790,97.35,85.92,10.07,0.99,6768.21万,18.48,5.8018,716.02亿,579.43亿
79,688048,长光华芯,396.00,-10.37,A股,5.45,72.35亿,54.90亿,电子-半导体-分立器件,长光华芯,电子-半导体-分立器件,国产芯片、激光雷达、光芯片、专精特新、中盘股、融资融券、2025年报扭亏、医美概念、光通信模块、中盘成长、第三代半导体、商业航天、沪股通、半导体概念、华为概念、数据中心、通信技术、可控核聚变、光纤概念、CPO概念、无人驾驶、汽车芯片、MSCI中国,-45.800,439.00,395.01,7.53,0.88,1326.59万,3895.79,23.1633,698.07亿,698.07亿
80,600519,XD贵州茅,1168.63,-1.30,A股,2.17,71.63亿,59.22亿,食品饮料-白酒Ⅱ-白酒Ⅲ,贵州茅台,食品饮料-白酒Ⅱ-白酒Ⅲ,味蕾经济、权重股、融资融券、行业龙头、西部大开发、上证180_、证金持股、沪股通、标准普尔、一线酒企、大盘股、东方财富热股、消费风格、电商概念、HS300_、上证50_、酿酒概念、央国企改革、茅指数、超级品牌、央视50_、富时罗素、白酒、MSCI中国,-15.450,1199.00,1168.10,0.40,0.94,500.66万,13.41,6.1938,1.46万亿,1.46万亿
81,600703,三安光电,21.73,0.28,A股,9.98,71.59亿,120.74亿,电子-光学光电子-LED,三安光电,电子-光学光电子-LED,国产芯片、LED概念、周期股、数字经济、国家大基金持股、氮化镓、东方财富热股、大盘成长、无人驾驶、富时罗素、题材股、融资融券、低空经济、华为汽车、太空光伏、商业航天、金属回收、半导体概念、碳化硅、苹果概念、先进封装、数据中心、光伏概念、卫星导航、汽车芯片、MiniLED、光芯片、5G概念、昨日高振幅、光通信模块、新能源车、第三代半导体、标准普尔、小米概念、通信技术、消费电子概念、巨量转移、MicroLED、荣耀概念、CPO概念、科技风格、MSCI中国、安防概念、福建自贸区、宁组合、AI眼镜、充电桩、沪股通、大盘股、蓝宝石、MicroLED芯片、比亚迪概念、海峡两岸、植物照明,0.060,23.18,21.41,10.89,1.26,5.43亿,401.57,3.1063,1084.11亿,1084.11亿
