序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,成交额(元) 2026.06.26,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
41,300408,三环集团,160.05,-2.18,A股,119.36亿,电子-元件-被动元件,三环集团,电子-元件-被动元件,5G概念、周期股、深证100R、证金持股、燃料电池概念、光通信模块、深成500、华为概念、小米概念、通信技术、智能穿戴、电池技术、趋势股、消费电子概念、HS300_、大盘成长、CPO概念、科技风格、富时罗素、MLCC、MSCI中国、融资融券、深股通、大盘股、被动元件概念、数据中心、新材料、光纤概念、创业板综、SOFC,-3.570,164.49,154.90,4.00,0.98,7481.57万,96.96,14.2425,3067.35亿,2992.62亿
42,300274,阳光电源,151.05,-1.05,A股,117.24亿,电力设备-光伏设备-逆变器,阳光电源,电力设备-光伏设备-逆变器,周期股、深证100R、数字经济、新能源车、深成500、宁德时代概念、先进制造风格、HS300_、大盘成长、储能概念、富时罗素、MSCI中国、阿里概念、宁组合、权重股、融资融券、行业龙头、充电桩、深股通、虚拟电厂、储能变流器、大盘股、数据中心、光伏概念、氢能源、系统集成、茅指数、创业板综、光伏逆变器、风能,-1.610,159.98,150.40,4.77,1.01,7577.90万,34.17,6.6291,3131.59亿,2397.96亿
43,300604,长川科技,314.90,1.58,A股,112.88亿,电子-半导体-半导体设备,长川科技,电子-半导体-半导体设备,国产芯片、专精特新、融资融券、两岸合作、深股通、国家大基金持股、中证500、半导体概念、存储芯片、深成500、大盘股、东方财富热股、大盘成长、2025三季报预增、海峡两岸、创业板综、科技风格、2025年报预增、MSCI中国,4.910,332.00,310.95,7.18,1.06,3515.54万,141.67,39.7196,1997.78亿,1541.35亿
44,000636,风华高科,78.50,-1.41,A股,111.87亿,电子-元件-被动元件,风华高科,电子-元件-被动元件,粤港澳大湾区、中盘股、5G概念、东数西算、高压快充、深成500、华为概念、最近多板、通信技术、东方财富热股、电池技术、趋势股、创投、智能穿戴、央国企改革、CPO概念、超级电容、科技风格、小金属概念、MLCC、机器人概念、题材股、融资融券、低空经济、AI眼镜、液冷概念、深股通、虚拟机器人、无人机、中盘成长、商业航天、被动元件概念、光伏概念、卫星导航、锂电池概念、比亚迪概念、传感器、汽车电子,-1.120,80.53,77.34,12.27,1.02,1.42亿,256.40,7.2760,908.26亿,908.26亿
45,000988,华工科技,160.94,-7.28,A股,110.14亿,机械设备-自动化设备-激光设备,华工科技,机械设备-自动化设备-激光设备,国产芯片、全息技术、深证100R、乡村振兴、高压快充、3D打印、深成500、存储芯片、铜缆高速连接、AI智能体、新型工业化、宁德时代概念、东方财富热股、大盘成长、腾讯概念、农机、2026一季报预增、独角兽、量子通信、富时罗素、物联网、基因测序、阿里概念、机器人概念、数据要素、航空发动机、融资融券、华为汽车、F5G概念、商业航天、半导体概念、苹果概念、先进封装、PCB、华为系算力、玻璃基板、卫星导航、汽车热管理、湖北三资改革、湖北自贸、MiniLED、光芯片、专精特新、5G概念、工业母机、东数西算、昨日高振幅、光通信模块、新能源车、钙钛矿电池、第三代半导体、工业互联、标准普尔、柔性屏、先进制造风格、华为概念、通信技术、长安汽车概念、创投、HS300_、MicroLED、央国企改革、智能家居、百度概念、CPO概念、DeepSeek概念、MSCI中国、量子科技、6G概念、大飞机、数字孪生、移动支付、充电桩、深股通、智能座舱、智慧城市、大盘股、蓝宝石、IPO受益、氢能源、新材料、锂电池概念、比亚迪概念、6G元器件、高端装备、传感器、汽车电子、3D玻璃、特斯拉概念,-12.640,171.87,160.00,6.65,0.92,6679.32万,63.37,14.1474,1618.26亿,1617.42亿
46,300433,蓝思科技,55.59,-0.23,A股,103.38亿,电子-消费电子-消费电子零部件及组装,蓝思科技,电子-消费电子-消费电子零部件及组装,深证100R、AIPC、贬值受益、3D打印、深成500、宁德时代概念、新型工业化、智能穿戴、趋势股、太空算力、蚂蚁概念、OLED、富时罗素、机器人概念、题材股、融资融券、人脑工程、光伏玻璃、液冷概念、太空光伏、商业航天、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、无线耳机、电子烟、元宇宙概念、新能源车、灵巧手、工业互联、柔性屏、华为概念、小米概念、TOPCON电池、消费电子概念、HS300_、AI手机结构件、越疆机器人、智能家居、荣耀概念、混合现实、科技风格、MSCI中国、AI手机、AI眼镜、充电桩、深股通、虚拟现实、智能座舱、大盘股、蓝宝石、新材料、人形机器人、小米汽车、比亚迪概念、创业板综、减速器、智能物流、传感器、汽车电子、3D玻璃、特斯拉概念,-0.130,57.48,53.00,3.74,0.89,1.86亿,-490.38,5.6020,2934.45亿,2762.66亿
47,600105,永鼎股份,65.71,-9.94,A股,103.21亿,通信-通信设备-通信线缆及配套,永鼎股份,通信-通信设备-通信线缆及配套,国产芯片、光纤光缆、光芯片、专精特新、中盘股、5G概念、海工装备、东数西算、昨日高振幅、光通信模块、新能源车、工业互联、3D打印、磁悬浮概念、标准普尔、华为概念、通信技术、东方财富热股、趋势股、核能核电、CPO概念、科技风格、富时罗素、超导材料、2025年报预增、MSCI中国、题材股、数据安全、军工、融资融券、低空经济、华为汽车、中盘成长、中证500、沪股通、商业航天、网络安全、数据中心、超导概念、可控核聚变、一带一路、光纤概念、比亚迪概念、3D打印设备、长江三角、风能、参股银行、大数据,-7.250,73.90,65.66,10.43,1.09,1.52亿,151.22,29.1443,960.68亿,960.68亿
48,002371,北方华创,813.37,1.93,A股,100.09亿,电子-半导体-半导体设备,北方华创,电子-半导体-半导体设备,国产芯片、深证100R、国家大基金持股、长江存储、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、东方财富热股、电池技术、HS300_、大盘成长、中芯概念、高带宽内存、光刻机/胶、央国企改革、百日新高 、中国AI 50、OLED、科技风格、富时罗素、MSCI中国、宁组合、权重股、华为海思、融资融券、深股通、近期新高、半导体概念、大盘股、光伏概念、历史新高 、锂电池概念、茅指数,15.370,828.00,782.17,1.71,1.10,1240.31万,90.27,15.2357,5902.54亿,5897.83亿
49,605358,立昂微,75.37,6.91,A股,97.90亿,电子-半导体-半导体材料,立昂微,电子-半导体-半导体材料,国产芯片、光芯片、专精特新、5G概念、IGBT概念、昨日高振幅、新能源车、第三代半导体、氮化镓、存储芯片、通信技术、东方财富热股、昨日高换手、趋势股、中芯概念、CPO概念、人工智能、无人驾驶、物联网、电网概念、机器人概念、卫星互联网、融资融券、充电桩、中证500、商业航天、沪股通、硅能源、半导体概念、小盘股、光伏概念、卫星导航、人形机器人、比亚迪概念、智能电网、半导体硅片、汽车芯片、汽车电子,4.870,76.50,68.83,17.22,1.56,1.33亿,2013.97,5.6146,582.01亿,582.01亿
50,000657,中钨高新,99.51,-5.84,A股,96.92亿,有色金属-小金属-钨,中钨高新,有色金属-小金属-钨,周期股、工业母机、深证100R、乡村振兴、昨日高振幅、海南自贸、金属钴、雅下水电概念、深成500、创投、趋势股、HS300_、2026一季报预增、央国企改革、DeepSeek概念、小金属概念、富时罗素、中字头、MSCI中国、题材股、军工、金属铜、医疗器械概念、融资融券、深股通、养老金、金属回收、大盘股、PCB、光伏概念、新材料、可控核聚变、金属钨、高端装备、盾构机,-6.170,109.68,99.00,6.45,0.87,9369.42万,61.54,21.2225,2267.44亿,1445.81亿
51,301217,铜冠铜箔,170.30,-7.08,A股,96.80亿,电力设备-电池-锂电池,铜冠铜箔,电力设备-电池-锂电池,题材股、中盘股、融资融券、5G概念、2025年报扭亏、深股通、深成500、PET铜箔、宁德时代概念、锂电铜箔、PCB、先进制造风格、电池技术、固态电池、储能概念、锂电池概念、比亚迪概念、央国企改革、创业板综、固态铜箔、PCB铜箔、安徽三资改革,-12.970,176.00,160.96,6.93,1.15,5741.27万,331.89,25.6643,1411.81亿,1411.81亿
52,600460,士兰微,50.38,1.04,A股,95.39亿,电子-半导体-分立器件,士兰微,电子-半导体-分立器件,国产芯片、LED概念、中盘股、共同富裕示范区、IGBT概念、昨日高振幅、国家大基金持股、新能源车、第三代半导体、氮化镓、标准普尔、华为概念、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、OLED、富时罗素、MCU芯片、2025年报预增、MSCI中国、题材股、融资融券、中盘成长、上证380、沪股通、半导体概念、碳化硅、先进封装、光伏概念、比亚迪概念、汽车芯片、长江三角、风能、传感器、汽车电子、MiniLED,0.520,53.80,49.33,11.17,1.09,1.86亿,100.36,6.8735,838.36亿,838.36亿
53,300666,江丰电子,354.78,7.51,A股,95.01亿,电子-半导体-半导体材料,江丰电子,电子-半导体-半导体材料,国产芯片、中盘股、共同富裕示范区、昨日高振幅、第三代半导体、存储芯片、深成500、华为概念、东方财富热股、趋势股、中芯概念、百日新高 、光刻机/胶、碳纤维、OLED、科技风格、富时罗素、题材股、融资融券、深股通、近期新高、中盘成长、中证500、半导体概念、光伏概念、新材料、历史新高 、海峡两岸、创业板综、中韩自贸区,24.780,366.65,324.48,12.32,1.11,2724.93万,116.70,14.0140,979.09亿,784.47亿
54,300395,菲利华,139.96,4.80,A股,93.61亿,国防军工-航空装备Ⅱ-航空装备Ⅲ,菲利华,国防军工-航空装备Ⅱ-航空装备Ⅲ,国产芯片、中盘股、5G概念、融资融券、深股通、中盘成长、中证500、电子布、半导体概念、深成500、PCB、先进制造风格、军民融合、通信技术、光伏概念、新材料、光纤概念、创业板综、OLED、富时罗素、2025年报预增、MSCI中国,6.410,144.20,129.17,13.18,1.60,6756.98万,127.99,15.3893,735.81亿,717.36亿
55,301526,国际复材,52.27,9.17,A股,92.27亿,建筑材料-玻璃玻纤-玻纤制造,国际复材,建筑材料-玻璃玻纤-玻纤制造,中盘股、5G概念、西部大开发、数字经济、工业互联、深成500、华为概念、通信技术、东方财富热股、趋势股、消费电子概念、央国企改革、百日新高 、PEEK材料概念、题材股、融资融券、2025年报扭亏、深股通、近期新高、中盘成长、中证500、华为手机、电子布、绿色电力、特高压、PCB、光伏概念、历史新高 、一带一路、创业板综、风能、汽车电子,4.390,54.10,48.84,12.67,0.96,1.78亿,182.38,23.2974,1971.04亿,734.08亿
56,688126,沪硅产业,34.86,4.65,A股,92.18亿,电子-半导体-半导体材料,沪硅产业,电子-半导体-半导体材料,国产芯片、融资融券、上证180_、国家大基金持股、贬值受益、沪股通、半导体概念、存储芯片、大盘股、东方财富热股、趋势股、HS300_、中芯概念、科技风格、半导体硅片、MSCI中国,1.550,36.06,32.36,9.35,1.32,2.66亿,-59.62,6.8444,1152.13亿,990.76亿
57,600498,烽火通信,76.22,-10.00,A股,92.10亿,通信-通信设备-通信网络设备及器件,烽火通信,通信-通信设备-通信网络设备及器件,国产芯片、国资云概念、中盘股、海工装备、AI智能体、空芯光纤、华为昇腾、富时罗素、华为鲲鹏、数据要素、题材股、智慧政务、融资融券、液冷概念、中盘成长、上证380、F5G概念、商业航天、特高压、网络安全、华为系算力、数据中心、卫星导航、光纤概念、汽车芯片、智能医疗、湖北三资改革、大数据、湖北自贸、光纤光缆、数据中心液冷、5G概念、东数西算、IPv6、昨日高振幅、光通信模块、数字乡村、标准普尔、通信技术、创投、央国企改革、CPO概念、DeepSeek概念、人工智能、科技风格、MCU芯片、MSCI中国、卫星互联网、云计算、数据安全、6G概念、算力概念、中证500、沪股通、智慧城市、一带一路、中特估、WiFi6,-8.470,83.98,76.22,9.27,0.95,1.18亿,674.09,5.8911,1035.20亿,969.23亿
58,601899,XD紫金矿,25.10,-1.72,A股,89.39亿,有色金属-工业金属-铜,紫金矿业,有色金属-工业金属-铜,周期股、上证180_、证金持股、贬值受益、金属钴、黄金加工、标准普尔、黄金开采、金属锌、HS300_、盐湖提锂、央国企改革、金属铅、小金属概念、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、福建自贸区、权重股、稀缺资源、融资融券、行业龙头、沪股通、大盘股、氢能源、铜矿、上证50_、一带一路、锂电池概念、锂矿概念,-0.440,25.90,24.86,1.71,0.84,3.53亿,8.31,3.5225,6674.27亿,5171.05亿
59,688521,芯原股份,336.00,-0.61,A股,89.07亿,电子-半导体-数字芯片设计,芯原股份,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、国家大基金持股、GPU、AI芯片、HS300_、大盘成长、腾讯概念、人工智能、无人驾驶、科技风格、MCU芯片、物联网、MSCI中国、阿里概念、AI手机、上海自贸、融资融券、AI眼镜、数字货币、虚拟现实、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、智能音箱、汽车芯片,-2.050,347.78,321.85,5.08,0.92,2672.28万,-129.61,56.1511,1767.08亿,1767.08亿
60,002080,中材科技,97.67,5.10,A股,88.00亿,建筑材料-玻璃玻纤-玻纤制造,中材科技,建筑材料-玻璃玻纤-玻纤制造,火箭发射、5G概念、海工装备、昨日高振幅、燃料电池概念、新能源车、标准普尔、深成500、节能环保、宁德时代概念、通信技术、东方财富热股、电池技术、污水处理、固态电池、央国企改革、百日新高 、中字头、富时罗素、隔膜、2025年报预增、MSCI中国、军工、题材股、中越经济一体化、6G概念、融资融券、深股通、近期新高、无人机、昨日触板、养老金、商业航天、电子布、大盘股、PCB、新能源、氢能源、新材料、历史新高 、一带一路、锂电池概念、6G元器件、昨日炸板、昨日打二板以上表现、长江三角、风能,4.740,102.22,94.78,5.31,1.45,8918.48万,80.74,8.3112,1639.02亿,1639.02亿
61,300346,南大光电,78.12,4.55,A股,87.57亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,南大光电,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、LED概念、专精特新、中盘股、国家大基金持股、氮化镓、深成500、存储芯片、华为概念、东方财富热股、趋势股、中芯概念、光刻机/胶、磷化工、OLED、富时罗素、电子特气、MSCI中国、题材股、融资融券、深股通、中盘成长、中证500、半导体概念、氟化工概念、第四代半导体、光伏概念、新材料、工业气体、创业板综、股权激励、长江三角,3.400,81.00,74.01,16.94,1.13,1.11亿,108.68,15.8496,539.93亿,512.46亿
62,002851,麦格米特,160.76,-6.52,A股,87.00亿,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,麦格米特,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,国产芯片、中盘股、昨日高振幅、HVDC供电、高压快充、新能源车、车联网、第三代半导体、标准普尔、深圳特区、深成500、柔性屏、新型工业化、先进制造风格、小米概念、长安汽车概念、储能概念、智能家居、中国AI 50、超级电容、富时罗素、MSCI中国、机器人概念、融资融券、医疗器械概念、充电桩、深股通、中盘成长、2025年报预减、中证500、碳化硅、数据中心、英伟达概念、光伏概念、玻璃基板、一带一路、智能电网、高端装备、高铁、风能,-11.220,175.66,154.83,11.69,1.55,5355.46万,203.88,10.4230,935.28亿,736.69亿
63,688498,源杰科技,1776.91,-5.23,A股,86.93亿,电子-半导体-分立器件,源杰科技,电子-半导体-分立器件,国产芯片、光芯片、融资融券、5G概念、西部大开发、2025年报扭亏、光通信模块、上证380、中证500、沪股通、半导体概念、大盘股、华为概念、通信技术、数据中心、趋势股、大盘成长、光纤概念、CPO概念、科技风格、汽车芯片、MSCI中国,-98.090,1834.72,1730.00,3.96,1.08,486.20万,308.21,89.7556,2212.26亿,2183.68亿
64,601869,长飞光纤,543.00,-5.57,A股,86.05亿,通信-通信设备-通信线缆及配套,长飞光纤,通信-通信设备-通信线缆及配套,国产芯片、光纤光缆、专精特新、5G概念、海工装备、东数西算、昨日高振幅、光通信模块、新能源车、抖音概念、工业互联、第三代半导体、标准普尔、铜缆高速连接、通信技术、趋势股、创投、空芯光纤、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、量子科技、机器人概念、融资融券、超清视频、上证380、中证500、沪股通、特高压、大盘股、碳化硅、数据中心、人形机器人、光纤概念、一带一路、智能电网、太赫兹、风能,-32.000,582.00,533.00,3.84,0.92,1558.35万,226.99,31.5876,4495.52亿,2206.42亿
65,000063,中兴通讯,35.67,-7.21,A股,85.38亿,通信-通信设备-通信网络设备及器件,中兴通讯,通信-通信设备-通信网络设备及器件,国产芯片、屏下摄像、区块链、多模态AI、深证100R、乡村振兴、数字经济、抖音概念、深圳特区、深成500、AI智能体、AI芯片、交换机、智能穿戴、腾讯概念、边缘计算、AI应用、量子通信、中国AI 50、国产操作系统、富时罗素、无线充电、物联网、机器人概念、低空经济、融资融券、液冷概念、超清视频、无人机、ChatGPT概念、商业航天、网络安全、数据中心、AI手机代工、卫星导航、光纤概念、星闪概念、大盘价值、汽车芯片、智能医疗、无线耳机、粤港澳大湾区、数据中心液冷、5G概念、东数西算、IPv6、通感一体化、证金持股、元宇宙概念、DPU、新能源车、水利建设、车联网、工业互联、标准普尔、通信技术、消费电子概念、HS300_、信创、百度概念、在线教育、DeepSeek概念、人工智能、科技风格、MSCI中国、AI手机、量子科技、卫星互联网、云计算、6G概念、AI眼镜、深股通、算力概念、空管系统、虚拟现实、智慧城市、大盘股、人形机器人、比亚迪概念、锂电池概念、海峡两岸、太赫兹、汽车电子,-2.770,37.79,35.67,5.82,1.04,2.35亿,32.55,2.2250,1706.29亿,1436.65亿
66,600206,有研新材,60.76,8.19,A股,83.76亿,电子-半导体-半导体材料,有研新材,电子-半导体-半导体材料,国产芯片、5G概念、昨日高振幅、磁材加工、长江存储、国家大基金持股、3D打印、存储芯片、标准普尔、华为概念、通信技术、东方财富热股、尾气治理、昨日高换手、趋势股、2025三季报预增、中芯概念、京津冀一体化、央国企改革、百日新高 、OLED、小金属概念、富时罗素、牙科医疗、2025年报预增、题材股、军工、稀土永磁、雄安新区、医疗器械概念、融资融券、近期新高、沪股通、半导体概念、先进封装、新能源、小盘股、新材料、历史新高 、光纤概念、先进封装材料、传感器,4.600,61.63,54.80,17.05,1.09,1.44亿,145.68,12.0641,514.37亿,514.37亿
67,600330,天通股份,32.75,-8.01,A股,83.12亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,天通股份,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、LED概念、5G概念、乡村振兴、昨日高振幅、新能源车、第三代半导体、最近多板、通信技术、昨日高换手、消费电子概念、电池技术、创投、智能穿戴、固废处理、储能概念、MicroLED、CPO概念、毫米波概念、量子通信、OLED、小金属概念、无线充电、量子科技、军工、融资融券、AI眼镜、充电桩、超清视频、商业航天、沪股通、半导体概念、蓝宝石、先进封装、PCB、数据中心、光伏概念、小盘股、新材料、卫星导航、锂电池概念、先进封装材料、高端装备、长江三角、智能物流、汽车电子、特斯拉概念,-2.850,37.37,32.34,19.47,1.64,2.40亿,-241.34,5.2081,403.95亿,403.95亿
68,600030,中信证券,27.74,-4.28,A股,82.05亿,非银金融-证券Ⅱ-证券Ⅲ,中信证券,非银金融-证券Ⅱ-证券Ⅲ,权重股、周期股、融资融券、行业龙头、参股期货、上证180_、证金持股、沪股通、券商概念、标准普尔、深圳特区、大盘股、华为概念、HS300_、上证50_、互联网金融、科创板做市商、富时罗素、金融地产风格、MSCI中国、参股银行,-1.240,29.16,27.71,2.38,0.82,2.90亿,10.06,1.4403,4111.22亿,3377.78亿
69,603259,药明康德,118.18,0.82,A股,81.35亿,医药生物-医疗服务-医疗研发外包,药明康德,医药生物-医疗服务-医疗研发外包,CAR-T细胞疗法、CRO、创新医疗服务、宁组合、权重股、融资融券、行业龙头、上证180_、贬值受益、沪股通、标准普尔、大盘股、医药医疗风格、HS300_、上证50_、茅指数、独角兽、富时罗素、创新药、2025年报预增、MSCI中国,0.960,121.07,116.96,2.77,0.97,6849.42万,18.95,4.4349,3526.20亿,2922.92亿
70,600549,厦门钨业,84.50,-1.58,A股,80.77亿,有色金属-小金属-钨,厦门钨业,有色金属-小金属-钨,昨日高振幅、上证180_、金属钴、标准普尔、宁德时代概念、电池技术、趋势股、HS300_、固态电池、央国企改革、独角兽、小金属概念、富时罗素、MLCC、MSCI中国、机器人概念、动力电池回收、军工、稀土永磁、福建自贸区、稀缺资源、融资融券、无人机、偏滤器、沪股通、商业航天、大盘股、稀土开采、氢能源、光伏概念、新材料、可控核聚变、金属钨、锂电池概念、海峡两岸,-1.360,89.68,83.62,6.03,0.78,9367.33万,30.30,7.5941,1341.51亿,1313.07亿
71,300570,太辰光,234.10,-9.37,A股,77.86亿,通信-通信设备-通信网络设备及器件,太辰光,通信-通信设备-通信网络设备及器件,国产芯片、中盘股、5G概念、融资融券、深股通、算力概念、贬值受益、光通信模块、中盘成长、中证500、F5G概念、深圳特区、深成500、铜缆高速连接、MPO连接器、通信技术、数据中心、光纤概念、CPO概念、创业板综、物联网、传感器,-24.210,245.00,225.00,17.37,1.19,3338.34万,202.08,30.0572,531.70亿,449.92亿
72,002436,兴森科技,51.81,-3.21,A股,74.22亿,电子-元件-印制电路板,兴森科技,电子-元件-印制电路板,国产芯片、粤港澳大湾区、中盘股、5G概念、昨日高振幅、光通信模块、标准普尔、深圳特区、深成500、存储芯片、华为概念、军民融合、通信技术、互联网金融、高带宽内存、毫米波概念、CPO概念、科技风格、富时罗素、机器人概念、卫星互联网、军工、6G概念、低空经济、融资融券、2025年报扭亏、深股通、中证500、商业航天、半导体概念、先进封装、PCB、玻璃基板、6G元器件、先进封装材料、通信PCB,-1.720,54.79,49.92,9.36,0.74,1.42亿,1174.47,16.6579,880.60亿,786.44亿
73,688146,中船特气,385.60,-1.13,A股,72.83亿,电子-半导体-半导体材料,中船特气,电子-半导体-半导体材料,题材股、国产芯片、中盘股、融资融券、昨日高振幅、国家大基金持股、中盘成长、沪股通、半导体概念、氟化工概念、电池技术、趋势股、电解液添加剂、固态电池、中芯概念、工业气体、锂电池概念、光刻机/胶、央国企改革、科技风格、电子特气、中字头、中船系,-4.390,416.99,370.00,12.60,0.96,1826.64万,503.87,35.4166,2041.41亿,559.01亿
74,688347,华虹宏力,323.00,-2.23,A股,71.98亿,电子-半导体-集成电路制造,华虹宏力,电子-半导体-集成电路制造,国产芯片、融资融券、国家大基金持股、上证380、中证500、沪股通、半导体概念、存储芯片、大盘股、消费电子概念、大盘成长、央国企改革、科技风格、MSCI中国、沪企改革,-7.360,337.96,310.80,5.46,0.85,2227.02万,1005.38,12.4043,5612.55亿,1317.03亿
75,002407,多氟多,41.51,-5.21,A股,71.95亿,基础化工-化学制品-氟化工,多氟多,基础化工-化学制品-氟化工,钠离子电池、国产芯片、六氟磷酸锂、中盘股、昨日高振幅、化工原料、新能源车、第三代半导体、工业互联、标准普尔、深成500、存储芯片、东方财富热股、创投、昨日高换手、电池技术、固态电池、储能概念、核能核电、中芯概念、PVDF概念、独角兽、富时罗素、动力电池回收、中盘价值、数字孪生、融资融券、2025年报扭亏、深股通、中证500、硅能源、半导体概念、氟化工概念、新材料、锂电池概念、比亚迪概念、氢氟酸、股权激励、特斯拉概念,-2.280,44.68,41.35,15.57,0.80,1.68亿,32.90,5.7868,494.15亿,447.80亿
76,300088,长信科技,11.67,13.41,A股,71.81亿,电子-光学光电子-面板,长信科技,电子-光学光电子-面板,LED概念、深成500、东方财富热股、昨日高换手、智能穿戴、OLED、富时罗素、题材股、中越经济一体化、融资融券、华为汽车、显示技术、昨日触板、商业航天、苹果概念、先进封装、光伏概念、玻璃基板、石墨烯、昨日炸板、大数据、安徽三资改革、电子纸概念、东数西算、昨日高振幅、元宇宙概念、新能源车、车联网、柔性屏、华为概念、小米概念、消费电子概念、电池技术、固态电池、算力租赁、MicroLED、央国企改革、百日新高 、荣耀概念、混合现实、AI手机、深股通、算力概念、近期新高、虚拟现实、智能座舱、小盘股、比亚迪概念、一带一路、锂电池概念、创业板综、小盘成长、汽车电子、3D玻璃、特斯拉概念,1.380,12.35,10.46,24.88,1.50,6.18亿,152.07,3.4056,291.49亿,290.06亿
77,688110,东芯股份,190.53,6.17,A股,71.52亿,电子-半导体-数字芯片设计,东芯股份,电子-半导体-数字芯片设计,国产芯片、安防概念、专精特新、中盘股、融资融券、5G概念、昨日高振幅、AIPC、近期新高、车联网、盛合晶微、沪股通、半导体概念、存储芯片、GPU、消费电子概念、智能穿戴、历史新高 、百日新高 、汽车芯片、MSCI中国、DRAM存储,11.080,200.20,172.39,8.81,1.28,3897.79万,152.38,23.4522,842.86亿,842.86亿
78,300857,协创数据,332.47,-2.78,A股,70.52亿,电子-消费电子-消费电子零部件及组装,协创数据,电子-消费电子-消费电子零部件及组装,国产芯片、贬值受益、网络游戏、短剧互动游戏、存储芯片、深圳特区、深成500、AI智能体、智能穿戴、大盘成长、腾讯概念、2026一季报预增、AI应用、物联网、阿里概念、云游戏、机器人概念、融资融券、AIGC概念、智能音箱、数据中心、英伟达概念、大数据、光芯片、粤港澳大湾区、东数西算、5G概念、光通信模块、车联网、小米概念、通信技术、消费电子概念、跨境电商、算力租赁、智能家居、CPO概念、DeepSeek概念、人工智能、科技风格、2025年报预增、MSCI中国、人脸识别、云计算、安防概念、AI眼镜、深股通、算力概念、中证500、净水概念、大盘股、人形机器人、创业板综、汽车电子、EDR概念,-9.510,345.28,326.01,4.33,0.68,2109.33万,54.21,31.7829,1626.99亿,1618.66亿
79,002202,金风科技,23.33,6.53,A股,70.15亿,电力设备-风电设备-风电整机,金风科技,电力设备-风电设备-风电整机,东数西算、海工装备、西部大开发、绿色氢氨醇、PPP模式、昨日高振幅、新疆振兴、证金持股、工业互联、标准普尔、深成500、先进制造风格、东方财富热股、污水处理、创投、HS300_、储能概念、独角兽、人工智能、抽水蓄能、富时罗素、MSCI中国、融资融券、行业龙头、深股通、齿轮箱、蓝箭航天、商业航天、绿色电力、特高压、大盘股、碳交易、新能源、氢能源、一带一路、煤化工概念、智能电网、风能、碳中和、柔性直流输电,1.430,23.90,22.26,9.01,2.24,3.03亿,27.16,2.4781,985.41亿,784.71亿
80,600141,兴发集团,48.80,2.78,A股,68.44亿,基础化工-农化制品-磷肥及磷化工,兴发集团,基础化工-农化制品-磷肥及磷化工,国产芯片、中盘股、乡村振兴、昨日高振幅、化肥、化工原料、标准普尔、存储芯片、宁德时代概念、最近多板、东方财富热股、电池技术、消毒剂、固态电池、中芯概念、央国企改革、百日新高 、磷化工、富时罗素、MSCI中国、有机硅单体、机器人概念、题材股、黄磷、中盘价值、稀缺资源、融资融券、液冷概念、近期新高、磷矿、上证380、中证500、沪股通、绿色电力、硅能源、半导体概念、草甘膦、氟化工概念、氢能源、磷酸铁锂、光纤概念、锂电池概念、比亚迪概念、有机硅概念、氢氟酸、湖北三资改革、参股银行、湖北自贸,1.320,51.44,45.77,11.69,1.64,1.41亿,57.13,2.4018,586.45亿,586.45亿
81,601318,中国平安,47.23,-4.20,A股,68.24亿,非银金融-保险Ⅱ-保险Ⅲ,中国平安,非银金融-保险Ⅱ-保险Ⅲ,区块链、周期股、上证180_、证金持股、互联网保险、标准普尔、深圳特区、红利破净股、HS300_、互联网金融、独角兽、央视50_、富时罗素、金融地产风格、MSCI中国、互联医疗、红利股、权重股、融资融券、家庭医生、沪股通、参股券商、大盘股、养老概念、IPO受益、上证50_、大盘价值、智能医疗、参股银行,-2.070,49.49,47.20,1.34,0.96,1.43亿,8.54,0.8668,8552.24亿,5034.75亿
