序号,代码,名称,最新价(元) 10:28,涨跌幅(%) 10:28,证券类型,成交额(元) 10:28,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
40,002409,雅克科技,222.74,6.57,A股,51.07亿,电子-半导体-半导体材料,雅克科技,电子-半导体-半导体材料,国产芯片、专精特新、中盘股、海工装备、昨日高振幅、国家大基金持股、存储芯片、标准普尔、深成500、最近多板、东方财富热股、趋势股、中芯概念、高带宽内存、光刻机/胶、磷化工、OLED、科技风格、富时罗素、电子特气、天然气、MSCI中国、题材股、融资融券、深股通、昨日首板、中盘成长、中证500、半导体概念、特高压、先进封装、氟化工概念、工业气体,13.740,229.00,218.50,7.15,2.52,2277.13万,99.37,13.3282,1060.08亿,709.48亿
41,002463,沪电股份,137.91,0.44,A股,49.87亿,电子-元件-印制电路板,沪电股份,电子-元件-印制电路板,国产芯片、5G概念、周期股、深证100R、昨日高振幅、贬值受益、新能源车、标准普尔、深成500、华为概念、通信技术、污水处理、HS300_、大盘成长、2026一季报预增、毫米波概念、无人驾驶、科技风格、富时罗素、MSCI中国、融资融券、深股通、台资控股、大盘股、PCB、数据中心、海峡两岸、服务器PCB、汽车电子、通信PCB,0.610,141.89,136.07,1.86,2.12,3578.11万,53.42,16.7674,2653.89亿,2651.75亿
42,600460,士兰微,47.77,-1.30,A股,49.41亿,电子-半导体-分立器件,士兰微,电子-半导体-分立器件,国产芯片、LED概念、中盘股、共同富裕示范区、IGBT概念、昨日高振幅、国家大基金持股、新能源车、第三代半导体、氮化镓、标准普尔、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、HS300_、OLED、科技风格、富时罗素、MCU芯片、2025年报预增、MSCI中国、题材股、融资融券、中盘成长、上证380、沪股通、半导体概念、碳化硅、先进封装、光伏概念、比亚迪概念、汽车芯片、长江三角、传感器、风能、汽车电子、MiniLED,-0.630,49.96,46.86,6.10,3.35,1.02亿,95.12,6.5147,794.59亿,794.59亿
43,002851,麦格米特,170.96,7.12,A股,49.14亿,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,麦格米特,电力设备-其他电源设备Ⅱ-其他电源设备Ⅲ,国产芯片、中盘股、昨日高振幅、HVDC供电、高压快充、新能源车、车联网、第三代半导体、标准普尔、深圳特区、深成500、柔性屏、新型工业化、先进制造风格、小米概念、最近多板、长安汽车概念、东方财富热股、储能概念、智能家居、中国AI 50、超级电容、富时罗素、MSCI中国、机器人概念、融资融券、医疗器械概念、充电桩、深股通、昨日首板、中盘成长、2025年报预减、中证500、碳化硅、数据中心、英伟达概念、光伏概念、玻璃基板、一带一路、智能电网、高端装备、高铁、风能,11.370,173.86,167.16,6.29,3.81,2884.25万,216.81,11.0843,994.62亿,783.43亿
44,601869,长飞光纤,444.96,0.84,A股,48.92亿,通信-通信设备-通信线缆及配套,长飞光纤,通信-通信设备-通信线缆及配套,国产芯片、光纤光缆、专精特新、5G概念、海工装备、东数西算、昨日高振幅、光通信模块、抖音概念、新能源车、工业互联、第三代半导体、标准普尔、铜缆高速连接、通信技术、东方财富热股、创投、空芯光纤、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、量子科技、机器人概念、融资融券、超清视频、上证380、中证500、沪股通、特高压、大盘股、碳化硅、数据中心、人形机器人、光纤概念、一带一路、智能电网、太赫兹、风能,3.700,466.98,440.51,2.66,3.37,1079.30万,186.00,25.8843,3683.85亿,1808.04亿
45,300418,昆仑万维,52.26,3.65,A股,48.73亿,传媒-游戏Ⅱ-游戏Ⅲ,昆仑万维,传媒-数字媒体-门户网站,国产芯片、中盘股、区块链、多模态AI、深证100R、贬值受益、抖音概念、短剧互动游戏、网络游戏、深成500、AI智能体、AI芯片、AI应用、独角兽、无人驾驶、AI制图、富时罗素、阿里概念、Sora概念、题材股、融资融券、行业龙头、AIGC概念、ChatGPT概念、Web3.0、股权激励、文娱消费、东数西算、元宇宙概念、华为概念、创投、HS300_、AI游戏、京津冀一体化、算力租赁、DeepSeek概念、在线教育、人工智能、手机游戏、AI语料、网红经济、MSCI中国、医疗器械概念、深股通、算力概念、虚拟现实、互联网服务、虚拟数字人、创业板综,1.840,53.53,47.80,8.25,3.07,9690.78万,-18.94,5.2447,672.07亿,614.69亿
46,603083,剑桥科技,210.44,4.18,A股,48.51亿,通信-通信设备-通信终端及配件,剑桥科技,通信-通信设备-通信终端及配件,中盘股、5G概念、昨日高振幅、贬值受益、光通信模块、工业互联、新型工业化、华为概念、通信技术、信创、智能家居、边缘计算、CPO概念、科技风格、2025年报预增、物联网、MSCI中国、融资融券、液冷概念、中盘成长、上证380、F5G概念、沪股通、一带一路、股权激励、WiFi6、WiFi,8.440,222.20,207.00,8.10,4.04,2232.42万,163.73,10.3826,774.95亿,579.95亿
47,002407,多氟多,43.45,-0.46,A股,48.22亿,基础化工-化学制品-氟化工,多氟多,基础化工-化学制品-氟化工,钠离子电池、国产芯片、六氟磷酸锂、中盘股、昨日高振幅、化工原料、新能源车、第三代半导体、工业互联、标准普尔、深成500、存储芯片、东方财富热股、创投、昨日高换手、电池技术、固态电池、储能概念、核能核电、中芯概念、PVDF概念、独角兽、富时罗素、动力电池回收、题材股、中盘价值、数字孪生、融资融券、2025年报扭亏、深股通、中证500、硅能源、半导体概念、氟化工概念、新材料、锂电池概念、比亚迪概念、氢氟酸、股权激励、特斯拉概念,-0.200,45.69,42.99,10.06,2.17,1.08亿,34.43,6.0573,517.24亿,468.72亿
48,300054,鼎龙股份,91.99,-4.17,A股,47.15亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,鼎龙股份,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、中盘股、转债标的、第三代半导体、2026中报预增、存储芯片、深成500、柔性屏、东方财富热股、趋势股、中芯概念、2026一季报预增、光刻机/胶、OLED、科技风格、富时罗素、MSCI中国、融资融券、行业龙头、显示技术、深股通、中盘成长、中证500、半导体概念、先进封装、玻璃基板、锂电池概念、先进封装材料、创业板综,-4.000,98.00,89.41,6.74,4.34,5009.22万,87.36,16.3402,876.90亿,683.64亿
49,300058,蓝色光标,14.41,11.45,A股,47.10亿,传媒-广告营销-营销代理,蓝色光标,传媒-广告营销-营销代理,中盘股、区块链、职业教育、元宇宙概念、抖音概念、短剧互动游戏、深成500、AI营销、AI智能体、华为概念、小红书概念、跨境电商、创投、腾讯概念、AI应用、百度概念、在线教育、DeepSeek概念、人工智能、富时罗素、网红经济、MSCI中国、阿里概念、机器人概念、融资融券、2025年报扭亏、智谱AI概念、深股通、虚拟现实、AIGC概念、中盘成长、中证500、ChatGPT概念、快手概念、Web3.0、虚拟数字人、NFT概念、创业板综、文娱消费、智谱AI、大数据,1.480,14.78,12.59,9.80,5.32,3.41亿,102.63,6.5293,517.71亿,501.52亿
50,300223,北京君正,235.73,-0.12,A股,46.63亿,电子-半导体-数字芯片设计,北京君正,电子-半导体-数字芯片设计,国产芯片、中盘股、区块链、鸿蒙概念、贬值受益、抖音概念、CPU、3D打印、存储芯片、深成500、小米概念、智能穿戴、消费电子概念、SRAM存储、京津冀一体化、智能家居、毫米波概念、人工智能、无人驾驶、OLED、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、人脸识别、机器人概念、安防概念、融资融券、AI眼镜、深股通、超清视频、智能座舱、中证500、半导体概念、智能音箱、机器视觉、3D打印设备、创业板综、汽车芯片、传感器、DRAM存储、汽车电子、MiniLED,-0.290,244.92,230.17,4.63,1.65,1952.89万,89.46,9.0033,1141.40亿,995.16亿
51,300285,国瓷材料,79.99,-1.00,A股,46.07亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,国瓷材料,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、中盘股、5G概念、新能源车、3D打印、深成500、节能环保、宁德时代概念、电池技术、消费电子概念、固态电池、CPO概念、科技风格、富时罗素、牙科医疗、MLCC、融资融券、深股通、中盘成长、中证500、商业航天、蓝宝石、被动元件概念、氢能源、新材料、卫星导航、比亚迪概念、锂电池概念、创业板综,-0.810,84.82,78.50,6.59,2.35,5625.37万,140.15,11.2156,797.54亿,682.85亿
52,002428,云南锗业,105.00,1.96,A股,45.50亿,有色金属-小金属-其他小金属,云南锗业,有色金属-小金属-其他小金属,国产芯片、中盘股、西部大开发、昨日高振幅、光通信模块、第三代半导体、深成500、华为概念、通信技术、小金属概念、富时罗素、题材股、军工、稀缺资源、融资融券、深股通、中盘成长、2025年报预减、商业航天、金属回收、半导体概念、光伏概念、氟化工概念、卫星导航、光纤概念,2.020,106.60,100.80,6.70,2.67,4374.16万,1882.53,46.8854,685.78亿,685.69亿
53,688521,芯原股份,318.45,-3.08,A股,45.28亿,电子-半导体-数字芯片设计,芯原股份,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、国家大基金持股、GPU、AI芯片、HS300_、大盘成长、腾讯概念、人工智能、无人驾驶、科技风格、MCU芯片、物联网、MSCI中国、阿里概念、AI手机、上海自贸、融资融券、AI眼镜、数字货币、虚拟现实、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、智能音箱、汽车芯片,-10.110,326.89,312.50,2.69,2.50,1415.68万,-122.84,53.2182,1674.78亿,1674.78亿
54,688126,沪硅产业,39.07,4.89,A股,45.20亿,电子-半导体-半导体材料,沪硅产业,电子-半导体-半导体材料,国产芯片、融资融券、昨日高振幅、上证180_、贬值受益、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、东方财富热股、趋势股、HS300_、中芯概念、科技风格、半导体硅片、MSCI中国,1.820,40.35,37.80,4.05,2.39,1.15亿,-66.82,7.6710,1291.27亿,1110.41亿
55,300274,阳光电源,120.50,-2.83,A股,43.38亿,电力设备-光伏设备-逆变器,阳光电源,电力设备-光伏设备-逆变器,周期股、深证100R、数字经济、新能源车、深成500、宁德时代概念、先进制造风格、HS300_、大盘成长、储能概念、富时罗素、MSCI中国、阿里概念、宁组合、权重股、融资融券、行业龙头、充电桩、深股通、虚拟电厂、储能变流器、大盘股、数据中心、光伏概念、氢能源、系统集成、茅指数、创业板综、光伏逆变器、风能,-3.510,123.80,118.52,2.27,2.79,3600.52万,27.26,5.2892,2498.63亿,1913.29亿
56,300666,江丰电子,369.96,1.50,A股,43.36亿,电子-半导体-半导体材料,江丰电子,电子-半导体-半导体材料,国产芯片、中盘股、共同富裕示范区、第三代半导体、存储芯片、深成500、华为概念、东方财富热股、趋势股、中芯概念、光刻机/胶、碳纤维、OLED、科技风格、富时罗素、融资融券、深股通、中盘成长、中证500、半导体概念、光伏概念、新材料、海峡两岸、创业板综、中韩自贸区,5.480,385.00,359.00,5.26,2.49,1162.16万,121.67,14.6109,1020.79亿,817.89亿
57,688820,盛合晶微,211.88,0.45,A股,42.66亿,电子-半导体-集成电路封测,盛合晶微,电子-半导体-集成电路制造,昨日高换手、国产芯片、融资融券、昨日高振幅、注册制次新股、半导体概念、次新股、存储芯片、先进封装,0.940,219.00,207.00,11.52,3.00,1992.60万,515.72,20.5128,3946.85亿,366.35亿
58,300346,南大光电,80.46,0.35,A股,41.46亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,南大光电,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、LED概念、专精特新、中盘股、国家大基金持股、氮化镓、深成500、存储芯片、华为概念、东方财富热股、中芯概念、光刻机/胶、磷化工、OLED、富时罗素、电子特气、MSCI中国、题材股、融资融券、深股通、中盘成长、中证500、半导体概念、氟化工概念、第四代半导体、光伏概念、新材料、工业气体、创业板综、股权激励、长江三角,0.280,84.20,79.00,7.71,2.73,5059.61万,111.98,16.3305,556.31亿,528.01亿
59,002475,立讯精密,64.57,0.17,A股,41.21亿,电子-消费电子-消费电子零部件及组装,立讯精密,电子-消费电子-消费电子零部件及组装,国产芯片、周期股、DAC无源铜缆、深证100R、贬值受益、3D摄像头、深圳特区、深成500、铜缆高速连接、智能穿戴、CDU、无人驾驶、富时罗素、无线充电、机器人概念、融资融券、液冷概念、商业航天、苹果概念、智能音箱、数据中心、无线耳机、5G概念、昨日高振幅、电子烟、证金持股、转债标的、光通信模块、新能源车、标准普尔、华为概念、通信技术、消费电子概念、HS300_、智能家居、CPO概念、毫米波概念、混合现实、科技风格、HUD抬头显示、MSCI中国、权重股、AI眼镜、深股通、充电桩、虚拟现实、智能座舱、华为手机、大盘股、机器视觉、人形机器人、茅指数、海峡两岸、汽车电子,0.110,65.66,63.80,0.87,1.64,6371.80万,34.08,5.6457,4988.21亿,4729.80亿
60,688048,长光华芯,495.00,4.78,A股,41.10亿,电子-半导体-分立器件,长光华芯,电子-半导体-分立器件,国产芯片、光芯片、激光雷达、专精特新、中盘股、融资融券、2025年报扭亏、昨日高振幅、医美概念、光通信模块、中盘成长、第三代半导体、商业航天、沪股通、半导体概念、华为概念、数据中心、通信技术、可控核聚变、光纤概念、CPO概念、无人驾驶、汽车芯片、MSCI中国,22.560,506.70,472.00,4.75,2.65,838.08万,4869.74,28.9541,872.59亿,872.59亿
61,600105,永鼎股份,51.66,1.97,A股,41.09亿,通信-通信设备-通信线缆及配套,永鼎股份,通信-通信设备-通信线缆及配套,国产芯片、光纤光缆、光芯片、专精特新、中盘股、5G概念、海工装备、东数西算、昨日高振幅、光通信模块、新能源车、工业互联、3D打印、2026中报预增、磁悬浮概念、标准普尔、华为概念、通信技术、东方财富热股、核能核电、CPO概念、科技风格、富时罗素、超导材料、2025年报预增、MSCI中国、数据安全、军工、融资融券、低空经济、华为汽车、中盘成长、中证500、沪股通、商业航天、网络安全、数据中心、超导概念、可控核聚变、一带一路、光纤概念、比亚迪概念、3D打印设备、长江三角、风能、参股银行、大数据,1.000,53.33,50.75,5.38,2.55,7865.66万,118.88,22.9127,755.27亿,755.27亿
62,688498,源杰科技,1761.60,0.89,A股,40.57亿,电子-半导体-分立器件,源杰科技,电子-半导体-分立器件,国产芯片、光芯片、融资融券、5G概念、西部大开发、2025年报扭亏、光通信模块、上证380、中证500、沪股通、半导体概念、大盘股、华为概念、通信技术、数据中心、大盘成长、光纤概念、CPO概念、科技风格、汽车芯片、MSCI中国,15.590,1829.00,1731.04,1.85,2.06,226.79万,305.56,88.9823,2193.20亿,2164.87亿
63,688120,华海清科,365.68,6.30,A股,39.70亿,电子-半导体-半导体设备,华海清科,电子-半导体-半导体设备,国产芯片、专精特新、融资融券、昨日高振幅、长江存储、上证380、中证500、第三代半导体、沪股通、半导体概念、存储芯片、大盘股、先进封装、东方财富热股、趋势股、大盘成长、长鑫存储、中芯概念、高带宽内存、MicroLED、央国企改革、科技风格、MSCI中国,21.680,374.85,340.01,2.24,2.38,1106.11万,182.87,23.8660,1808.98亿,1808.98亿
64,301583,N托伦斯,241.24,967.43,A股,38.45亿,电子-半导体-半导体设备,托伦斯,电子-半导体-半导体设备,国产芯片、融资融券、创业板综、半导体概念,218.640,264.42,203.40,52.47,0.00,1617.77万,763.99,24.1778,447.44亿,74.38亿
65,300821,东岳硅材,27.98,-7.75,A股,37.91亿,基础化工-化学制品-有机硅,东岳硅材,基础化工-化学制品-有机硅,题材股、融资融券、昨日高振幅、深股通、近期新高、燃料电池概念、硅橡胶、2026中报预增、硅能源、东方财富热股、小盘股、氢能源、电池技术、趋势股、新材料、2026一季报预增、百日新高 、有机硅概念、创业板综、富时罗素、有机硅单体,-2.350,30.49,27.70,10.91,3.15,1.31亿,43.26,6.5808,335.76亿,335.70亿
66,000100,TCL科技,5.35,-0.19,A股,36.96亿,电子-光学光电子-面板,TCL科技,电子-光学光电子-面板,屏下摄像、国产芯片、周期股、电子纸概念、深证100R、昨日高振幅、AIPC、证金持股、工业互联、标准普尔、深成500、柔性屏、AI芯片、华为概念、小米概念、东方财富热股、消费电子概念、HS300_、MicroLED、超级品牌、OLED、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、AI眼镜、显示技术、深股通、虚拟现实、绿色电力、硅能源、半导体概念、大盘股、PCB、光伏概念、比亚迪概念、参股银行、MiniLED,-0.010,5.49,5.30,3.40,1.96,6.84亿,17.87,1.8299,1112.85亿,1076.33亿
67,000636,风华高科,63.48,-1.51,A股,36.96亿,电子-元件-被动元件,风华高科,电子-元件-被动元件,中盘股、5G概念、东数西算、昨日高振幅、高压快充、深成500、华为概念、通信技术、东方财富热股、电池技术、智能穿戴、创投、央国企改革、CPO概念、超级电容、科技风格、小金属概念、MLCC、机器人概念、融资融券、低空经济、AI眼镜、液冷概念、深股通、虚拟机器人、无人机、中盘成长、商业航天、被动元件概念、光伏概念、卫星导航、锂电池概念、比亚迪概念、传感器、汽车电子,-0.970,66.28,62.50,4.95,2.76,5731.79万,207.34,5.9384,734.47亿,734.47亿
68,603893,瑞芯微,223.90,7.98,A股,35.99亿,电子-半导体-数字芯片设计,瑞芯微,电子-半导体-数字芯片设计,国产芯片、专精特新、昨日高振幅、上证180_、国家大基金持股、2026中报预增、AI芯片、华为概念、小米概念、趋势股、智能穿戴、消费电子概念、HS300_、大盘成长、2025三季报预增、腾讯概念、电力物联网、2026一季报预增、百度概念、智能家居、人工智能、中国AI 50、科技风格、MCU芯片、2025年报预增、物联网、MSCI中国、机器人概念、福建自贸区、融资融券、AI眼镜、虚拟现实、智能座舱、沪股通、ASIC芯片、半导体概念、大盘股、智能音箱、机器视觉、人形机器人、比亚迪概念、海峡两岸、股权激励、汽车芯片、EDR概念,16.540,227.00,207.00,3.91,2.70,1651.78万,71.92,20.0502,946.98亿,946.86亿
69,603259,药明康德,123.78,2.24,A股,35.87亿,医药生物-医疗服务-医疗研发外包,药明康德,医药生物-医疗服务-医疗研发外包,CAR-T细胞疗法、CRO、创新医疗服务、宁组合、权重股、融资融券、行业龙头、上证180_、贬值受益、沪股通、标准普尔、大盘股、医药医疗风格、HS300_、上证50_、茅指数、独角兽、富时罗素、创新药、2025年报预增、MSCI中国,2.710,125.53,120.00,1.18,1.75,2911.96万,19.85,4.6451,3693.29亿,3061.43亿
70,600276,恒瑞医药,56.67,1.91,A股,35.22亿,医药生物-化学制药-化学制剂,恒瑞医药,医药生物-化学制药-化学制剂,上证180_、证金持股、标准普尔、医药医疗风格、创投、HS300_、大盘成长、仿制药一致性评价、医药电商、中药概念、眼科医疗、央视50_、辅助生殖、富时罗素、创新药、MSCI中国、细胞免疫治疗、权重股、医疗器械概念、融资融券、GLP-1制剂、沪股通、绿色电力、大盘股、上证50_、单抗概念、茅指数、股权激励、减肥药、智能医疗、PD-1,1.060,57.39,54.55,0.99,2.12,6292.24万,41.20,6.0324,3761.30亿,3614.98亿
71,600378,昊华科技,64.23,-2.98,A股,35.15亿,基础化工-化学制品-氟化工,昊华科技,基础化工-化学制品-氟化工,国产芯片、钠离子电池、六氟磷酸锂、中盘股、西部大开发、昨日高振幅、页岩气、燃料电池概念、新能源车、电池技术、成渝特区、固态电池、中芯概念、2026一季报预增、央国企改革、磷化工、PVDF概念、富时罗素、电子特气、航母概念、军工、大飞机、融资融券、液冷概念、俄乌冲突概念、上证380、中证500、养老金、沪股通、商业航天、氦气概念、碳交易、PCB、氟化工概念、氢能源、工业气体、煤化工概念、锂电池概念、氢氟酸、股权激励、碳中和,-1.970,70.50,63.50,4.85,2.57,5199.15万,67.25,4.5839,828.57亿,688.91亿
72,002709,天赐材料,42.00,1.30,A股,33.84亿,电力设备-电池-电池化学品,天赐材料,电力设备-电池-电池化学品,钠离子电池、六氟磷酸锂、周期股、深证100R、昨日高振幅、新能源车、2026中报预增、标准普尔、深成500、宁德时代概念、先进制造风格、东方财富热股、电池技术、HS300_、固态电池、富时罗素、2025年报预增、PEEK材料概念、MSCI中国、动力电池回收、融资融券、深股通、大盘股、氟化工概念、氢能源、硫化物、新材料、锂电池概念、比亚迪概念、有机硅概念、大盘价值、氢氟酸、特斯拉概念,0.540,44.34,41.77,5.23,3.09,7886.84万,12.94,4.6350,856.20亿,633.78亿
73,300059,东方财富,20.26,-1.60,A股,33.82亿,非银金融-证券Ⅱ-证券Ⅲ,东方财富,非银金融-证券Ⅱ-证券Ⅲ,区块链、周期股、鸿蒙概念、深证100R、参股期货、证金持股、互联网保险、深成500、东方财富热股、HS300_、互联网金融、AI应用、DeepSeek概念、人工智能、富时罗素、金融地产风格、网红经济、MSCI中国、数据要素、权重股、融资融券、深股通、虚拟机器人、AIGC概念、券商概念、大盘股、互联网服务、国产软件、茅指数、创业板综、长江三角、大数据,-0.330,20.45,20.10,1.25,1.83,1.67亿,21.44,3.4002,3205.58亿,2705.38亿
74,688629,华丰科技,219.90,4.87,A股,33.73亿,国防军工-军工电子Ⅱ-军工电子Ⅲ,华丰科技,国防军工-军工电子Ⅱ-军工电子Ⅲ,中盘股、5G概念、西部大开发、高压快充、新能源车、光通信模块、铜缆高速连接、先进制造风格、华为概念、趋势股、腾讯概念、核能核电、央国企改革、CPO概念、MSCI中国、阿里概念、机器人概念、军工、融资融券、低空经济、2025年报扭亏、液冷概念、卫星通信、无人机、中盘成长、上证380、中证500、商业航天、沪股通、数据中心、卫星导航、比亚迪概念、高铁,10.220,228.16,212.22,3.33,2.33,1535.45万,244.84,35.5460,1029.41亿,1013.45亿
75,300857,协创数据,296.65,1.47,A股,33.65亿,电子-消费电子-消费电子零部件及组装,协创数据,电子-消费电子-消费电子零部件及组装,国产芯片、贬值受益、网络游戏、短剧互动游戏、存储芯片、深圳特区、深成500、AI智能体、智能穿戴、大盘成长、腾讯概念、2026一季报预增、AI应用、物联网、阿里概念、云游戏、机器人概念、融资融券、AIGC概念、智能音箱、数据中心、英伟达概念、大数据、光芯片、5G概念、东数西算、光通信模块、车联网、小米概念、通信技术、消费电子概念、跨境电商、算力租赁、智能家居、CPO概念、DeepSeek概念、人工智能、科技风格、2025年报预增、MSCI中国、人脸识别、云计算、安防概念、AI眼镜、深股通、算力概念、中证500、净水概念、大盘股、人形机器人、创业板综、汽车电子、EDR概念,4.290,309.65,291.01,2.31,2.73,1124.88万,48.37,28.3596,1451.74亿,1444.32亿
76,000657,中钨高新,77.65,2.18,A股,33.64亿,有色金属-小金属-钨,中钨高新,有色金属-小金属-钨,周期股、工业母机、深证100R、乡村振兴、昨日高振幅、海南自贸、金属钴、雅下水电概念、深成500、创投、HS300_、2026一季报预增、央国企改革、DeepSeek概念、小金属概念、富时罗素、中字头、MSCI中国、军工、金属铜、医疗器械概念、融资融券、深股通、养老金、金属回收、大盘股、PCB、光伏概念、新材料、可控核聚变、金属钨、高端装备、盾构机,1.660,80.11,75.33,2.97,2.14,4318.73万,48.02,17.4147,1769.34亿,1128.20亿
77,002747,埃斯顿,42.20,1.61,A股,33.59亿,机械设备-自动化设备-机器人,埃斯顿,机械设备-自动化设备-机器人,专精特新、工业母机、工业互联、深成500、宁德时代概念、新型工业化、长安汽车概念、东方财富热股、昨日高换手、趋势股、农机、人工智能、富时罗素、机器人概念、医疗器械概念、融资融券、2025年报扭亏、深股通、养老概念、小盘股、光伏概念、机器视觉、人形机器人、比亚迪概念、高端装备、小盘成长、智能医疗,0.670,42.77,40.30,10.29,2.35,8052.16万,104.36,12.6139,408.41亿,330.17亿
78,000066,中国长城,20.16,1.41,A股,33.37亿,计算机-计算机设备-其他计算机设备,中国长城,计算机-计算机设备-其他计算机设备,国产芯片、钠离子电池、中盘股、区块链、海工装备、数字经济、AIPC、CPU、深圳特区、深成500、交换机、东方财富热股、国产操作系统、中国AI 50、中字头、富时罗素、互联医疗、华为鲲鹏、军工、题材股、融资融券、液冷概念、商业航天、网络安全、华为系算力、数据中心、卫星导航、智能电网、大数据、北斗导航、数据中心液冷、5G概念、东数西算、昨日高振幅、车联网、标准普尔、华为概念、军民融合、通信技术、电池技术、消费电子概念、信创、央国企改革、百度概念、DeepSeek概念、人工智能、MSCI中国、量子科技、数据安全、充电桩、深股通、智慧城市、参股券商、锂电池概念、中特估、汽车电子,0.280,20.34,19.15,5.27,2.65,1.70亿,-194.43,5.9488,650.32亿,650.27亿
79,300458,全志科技,42.79,5.32,A股,33.11亿,电子-半导体-数字芯片设计,全志科技,电子-半导体-数字芯片设计,国产芯片、中盘股、深成500、存储芯片、AI芯片、东方财富热股、智能穿戴、腾讯概念、2026一季报预增、边缘计算、无人驾驶、富时罗素、物联网、阿里概念、机器人概念、融资融券、超清视频、中盘成长、半导体概念、小米机器人、汽车芯片、东数西算、车联网、2026中报预增、华为概念、小米概念、通信技术、长安汽车概念、消费电子概念、创投、2025三季报预增、中芯概念、百度概念、智能家居、横琴新区、DeepSeek概念、人工智能、MCU芯片、2025年报预增、AI眼镜、深股通、算力概念、虚拟现实、智能座舱、中证500、ASIC芯片、机器视觉、创业板综、WiFi、汽车电子、EDR概念,2.160,43.07,40.32,9.73,4.42,7922.79万,52.34,13.3364,425.08亿,348.32亿
80,688146,中船特气,334.50,-8.00,A股,33.01亿,电子-半导体-半导体材料,中船特气,电子-半导体-半导体材料,国产芯片、中盘股、融资融券、昨日高振幅、国家大基金持股、中盘成长、沪股通、半导体概念、氟化工概念、电池技术、趋势股、电解液添加剂、固态电池、中芯概念、工业气体、锂电池概念、光刻机/胶、央国企改革、科技风格、电子特气、中字头、中船系,-29.100,352.99,330.00,6.69,2.79,969.22万,437.10,30.7231,1770.88亿,484.93亿
81,688766,普冉股份,735.17,-3.53,A股,32.34亿,电子-半导体-数字芯片设计,普冉股份,电子-半导体-数字芯片设计,国产芯片、中盘股、融资融券、昨日高振幅、中盘成长、沪股通、半导体概念、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、智能家居、科技风格、汽车芯片、MCU芯片、物联网、无线耳机、汽车电子,-26.900,784.48,729.26,2.88,1.79,428.05万,108.84,40.5700,1093.22亿,1093.22亿
82,002916,深南电路,455.43,2.91,A股,32.25亿,电子-元件-印制电路板,深南电路,电子-元件-印制电路板,国产芯片、5G概念、周期股、深证100R、昨日高振幅、国家大基金持股、新能源车、存储芯片、标准普尔、深圳特区、深成500、华为概念、最近多板、通信技术、东方财富热股、HS300_、大盘成长、央国企改革、科技风格、富时罗素、富士康概念、2025年报预增、MSCI中国、融资融券、深股通、昨日首板、养老金、大盘股、苹果概念、先进封装、PCB、数据中心、中特估、服务器PCB、汽车电子、通信PCB,12.870,459.80,442.00,1.07,1.91,713.89万,91.22,18.8521,3102.24亿,3027.74亿
83,600703,三安光电,17.96,0.90,A股,32.19亿,电子-光学光电子-LED,三安光电,电子-光学光电子-LED,国产芯片、LED概念、周期股、数字经济、国家大基金持股、氮化镓、东方财富热股、大盘成长、无人驾驶、富时罗素、融资融券、低空经济、华为汽车、太空光伏、商业航天、金属回收、半导体概念、碳化硅、苹果概念、先进封装、数据中心、光伏概念、卫星导航、汽车芯片、MiniLED、光芯片、5G概念、昨日高振幅、光通信模块、新能源车、第三代半导体、标准普尔、小米概念、通信技术、消费电子概念、巨量转移、MicroLED、CPO概念、荣耀概念、科技风格、MSCI中国、卫星互联网、福建自贸区、安防概念、宁组合、AI眼镜、充电桩、沪股通、大盘股、蓝宝石、MicroLED芯片、比亚迪概念、海峡两岸、植物照明,0.160,18.69,17.69,3.54,2.49,1.77亿,331.90,2.5674,896.03亿,896.03亿
