序号,代码,名称,最新价(元) 2026.06.25,涨跌幅(%) 2026.06.25,证券类型,股票简称,涨跌幅(%) 2026.06.24,成交额(元) 2026.06.24,成交额(元) 2026.06.25,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25
39,002463,沪电股份,154.99,8.12,A股,沪电股份,3.50,100.00亿,157.22亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、5G概念、周期股、深证100R、贬值受益、新能源车、标准普尔、深成500、华为概念、通信技术、趋势股、污水处理、HS300_、大盘成长、2026一季报预增、毫米波概念、无人驾驶、科技风格、富时罗素、MSCI中国、融资融券、深股通、台资控股、大盘股、PCB、数据中心、海峡两岸、服务器PCB、汽车电子、通信PCB,11.640,156.33,140.00,5.43,1.22,1.04亿,60.03,18.8440,2982.57亿,2980.16亿
40,300408,三环集团,163.62,12.64,A股,三环集团,-0.16,99.84亿,139.15亿,电子-元件-被动元件,电子-元件-被动元件,5G概念、周期股、深证100R、证金持股、燃料电池概念、光通信模块、深成500、华为概念、小米概念、通信技术、智能穿戴、电池技术、趋势股、消费电子概念、HS300_、大盘成长、CPO概念、科技风格、富时罗素、MLCC、MSCI中国、融资融券、深股通、大盘股、被动元件概念、数据中心、新材料、光纤概念、创业板综、SOFC,18.360,165.00,147.00,4.75,1.19,8879.11万,99.12,14.5602,3135.77亿,3059.37亿
41,002371,北方华创,798.00,3.63,A股,北方华创,3.02,99.23亿,94.54亿,电子-半导体-半导体设备,电子-半导体-半导体设备,国产芯片、深证100R、昨日高振幅、长江存储、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、电池技术、HS300_、大盘成长、中芯概念、高带宽内存、光刻机/胶、央国企改革、百日新高 、中国AI 50、OLED、科技风格、富时罗素、MSCI中国、宁组合、权重股、华为海思、融资融券、深股通、近期新高、半导体概念、大盘股、光伏概念、历史新高 、锂电池概念、茅指数,27.930,810.00,775.00,1.64,1.07,1188.40万,88.56,14.9478,5791.00亿,5786.38亿
42,688797,C臻宝,574.44,-1.81,A股,臻宝科技,1212.84,98.21亿,94.17亿,电子-半导体-半导体材料,电子-半导体-半导体材料,东方财富热股、专精特新、融资融券、西部大开发、国家大基金持股、高端装备、OLED、注册制次新股、半导体概念、存储芯片、次新股、先进封装,-10.560,619.97,530.00,55.84,0.73,1630.20万,437.06,31.1033,892.05亿,167.69亿
43,002407,多氟多,43.79,-1.04,A股,多氟多,5.86,96.00亿,90.02亿,基础化工-化学制品-氟化工,基础化工-化学制品-氟化工,钠离子电池、国产芯片、六氟磷酸锂、中盘股、昨日高振幅、化工原料、新能源车、第三代半导体、工业互联、标准普尔、深成500、存储芯片、东方财富热股、创投、昨日高换手、电池技术、固态电池、储能概念、核能核电、中芯概念、PVDF概念、独角兽、富时罗素、动力电池回收、题材股、中盘价值、数字孪生、融资融券、2025年报扭亏、深股通、中证500、硅能源、半导体概念、氟化工概念、新材料、锂电池概念、比亚迪概念、氢氟酸、股权激励、特斯拉概念,-0.460,45.96,43.25,18.79,0.99,2.03亿,34.70,6.1047,521.29亿,472.39亿
44,600498,烽火通信,84.69,2.95,A股,烽火通信,-0.59,95.35亿,87.82亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、国资云概念、中盘股、海工装备、AI智能体、趋势股、空芯光纤、华为昇腾、富时罗素、华为鲲鹏、数据要素、智慧政务、融资融券、液冷概念、中盘成长、上证380、F5G概念、商业航天、特高压、网络安全、华为系算力、数据中心、卫星导航、光纤概念、汽车芯片、智能医疗、湖北三资改革、大数据、湖北自贸、光纤光缆、数据中心液冷、5G概念、东数西算、IPv6、昨日高振幅、光通信模块、数字乡村、标准普尔、通信技术、创投、央国企改革、CPO概念、DeepSeek概念、人工智能、科技风格、MCU芯片、MSCI中国、卫星互联网、云计算、数据安全、6G概念、算力概念、中证500、沪股通、智慧城市、一带一路、中特估、WiFi6,2.430,87.40,81.69,8.14,0.77,1.04亿,749.00,6.5457,1150.23亿,1076.94亿
45,600549,厦门钨业,85.86,3.41,A股,厦门钨业,-2.81,95.01亿,82.09亿,有色金属-小金属-钨,有色金属-小金属-钨,上证180_、金属钴、标准普尔、宁德时代概念、电池技术、趋势股、HS300_、固态电池、央国企改革、独角兽、小金属概念、富时罗素、MLCC、MSCI中国、机器人概念、动力电池回收、军工、稀土永磁、福建自贸区、稀缺资源、融资融券、偏滤器、无人机、沪股通、商业航天、大盘股、稀土开采、氢能源、光伏概念、新材料、可控核聚变、金属钨、锂电池概念、海峡两岸,2.830,87.50,81.55,6.18,0.72,9604.41万,30.79,7.7163,1363.10亿,1334.21亿
46,000636,风华高科,79.62,10.00,A股,风华高科,3.09,93.51亿,111.75亿,电子-元件-被动元件,电子-元件-被动元件,粤港澳大湾区、中盘股、5G概念、东数西算、昨日高振幅、高压快充、深成500、华为概念、通信技术、东方财富热股、电池技术、趋势股、智能穿戴、创投、央国企改革、CPO概念、超级电容、科技风格、小金属概念、MLCC、机器人概念、题材股、融资融券、低空经济、液冷概念、AI眼镜、深股通、虚拟机器人、无人机、中盘成长、商业航天、被动元件概念、光伏概念、卫星导航、锂电池概念、比亚迪概念、传感器、汽车电子,7.240,79.62,71.00,12.54,1.01,1.45亿,260.06,7.3798,921.21亿,921.21亿
47,301526,国际复材,47.88,6.45,A股,国际复材,17.59,91.93亿,82.12亿,建筑材料-玻璃玻纤-玻纤制造,建筑材料-玻璃玻纤-玻纤制造,中盘股、5G概念、西部大开发、昨日高振幅、数字经济、工业互联、深成500、华为概念、通信技术、东方财富热股、趋势股、消费电子概念、央国企改革、百日新高 、PEEK材料概念、题材股、融资融券、2025年报扭亏、深股通、近期新高、中盘成长、昨日触板、中证500、绿色电力、电子布、华为手机、特高压、PCB、光伏概念、历史新高 、一带一路、创业板综、风能、汽车电子,2.900,49.20,42.60,12.37,0.87,1.74亿,167.06,21.1521,1805.50亿,672.42亿
48,000021,深科技,53.20,5.83,A股,深科技,10.00,91.66亿,119.22亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、区块链、昨日高振幅、数字经济、贬值受益、新能源车、光通信模块、第三代半导体、存储芯片、标准普尔、深圳特区、深成500、最近多板、东方财富热股、消费电子概念、储能概念、央国企改革、百日新高 、CPO概念、超级电容、富时罗素、物联网、MSCI中国、电网概念、机器人概念、医疗器械概念、融资融券、深股通、近期新高、虚拟电厂、昨日首板、无人机、中证500、半导体概念、先进封装、历史新高 、智能电网、先进封装材料、智能物流、DRAM存储、汽车电子,2.930,54.27,52.00,14.26,1.23,2.24亿,86.46,6.4359,837.56亿,837.44亿
49,300274,阳光电源,152.66,-1.38,A股,阳光电源,1.84,91.65亿,87.78亿,电力设备-光伏设备-逆变器,电力设备-光伏设备-逆变器,周期股、深证100R、数字经济、新能源车、深成500、宁德时代概念、先进制造风格、HS300_、大盘成长、储能概念、富时罗素、MSCI中国、阿里概念、宁组合、权重股、融资融券、行业龙头、充电桩、深股通、虚拟电厂、储能变流器、大盘股、数据中心、光伏概念、氢能源、系统集成、茅指数、创业板综、光伏逆变器、风能,-2.140,155.60,149.63,3.64,0.77,5779.73万,34.53,6.6997,3164.96亿,2423.52亿
50,300433,蓝思科技,55.72,5.29,A股,蓝思科技,-0.75,90.99亿,120.35亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,深证100R、AIPC、贬值受益、3D打印、深成500、宁德时代概念、新型工业化、智能穿戴、趋势股、太空算力、蚂蚁概念、OLED、富时罗素、机器人概念、融资融券、人脑工程、光伏玻璃、液冷概念、太空光伏、商业航天、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、无线耳机、电子烟、元宇宙概念、新能源车、灵巧手、工业互联、柔性屏、华为概念、小米概念、TOPCON电池、消费电子概念、HS300_、AI手机结构件、越疆机器人、智能家居、荣耀概念、混合现实、科技风格、MSCI中国、AI手机、AI眼镜、充电桩、深股通、虚拟现实、智能座舱、大盘股、蓝宝石、新材料、人形机器人、小米汽车、比亚迪概念、创业板综、减速器、智能物流、传感器、汽车电子、3D玻璃、特斯拉概念,2.800,58.50,52.82,4.31,1.04,2.14亿,-491.53,5.3856,2941.31亿,2769.12亿
51,000988,华工科技,173.58,3.39,A股,华工科技,2.58,90.95亿,104.42亿,机械设备-自动化设备-激光设备,机械设备-自动化设备-激光设备,国产芯片、全息技术、深证100R、乡村振兴、高压快充、3D打印、深成500、存储芯片、宁德时代概念、AI智能体、铜缆高速连接、新型工业化、大盘成长、腾讯概念、农机、2026一季报预增、独角兽、量子通信、富时罗素、物联网、基因测序、阿里概念、机器人概念、数据要素、航空发动机、融资融券、华为汽车、F5G概念、商业航天、半导体概念、苹果概念、先进封装、PCB、华为系算力、玻璃基板、卫星导航、汽车热管理、湖北三资改革、湖北自贸、MiniLED、光芯片、专精特新、5G概念、工业母机、东数西算、光通信模块、新能源车、钙钛矿电池、第三代半导体、工业互联、标准普尔、柔性屏、先进制造风格、华为概念、通信技术、长安汽车概念、创投、HS300_、MicroLED、央国企改革、智能家居、百度概念、CPO概念、DeepSeek概念、MSCI中国、量子科技、大飞机、6G概念、数字孪生、移动支付、充电桩、深股通、智能座舱、智慧城市、大盘股、蓝宝石、IPO受益、氢能源、新材料、比亚迪概念、6G元器件、锂电池概念、高端装备、传感器、汽车电子、3D玻璃、特斯拉概念,5.690,174.34,165.40,6.06,0.81,6089.61万,68.34,15.2585,1745.35亿,1744.45亿
52,688347,华虹宏力,330.36,4.54,A股,华虹宏力,8.19,88.04亿,80.77亿,电子-半导体-集成电路制造,电子-半导体-集成电路制造,国产芯片、融资融券、昨日高振幅、近期新高、国家大基金持股、上证380、中证500、沪股通、半导体概念、存储芯片、大盘股、消费电子概念、大盘成长、历史新高 、央国企改革、百日新高 、科技风格、MSCI中国、沪企改革,14.350,336.00,308.20,6.08,0.93,2480.68万,1028.29,12.6869,5740.44亿,1347.04亿
53,688521,芯原股份,338.05,12.35,A股,芯原股份,5.58,86.75亿,106.95亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、国家大基金持股、GPU、AI芯片、HS300_、大盘成长、腾讯概念、人工智能、无人驾驶、科技风格、MCU芯片、物联网、MSCI中国、阿里概念、AI手机、上海自贸、融资融券、AI眼镜、数字货币、虚拟现实、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、智能音箱、汽车芯片,37.150,350.88,295.31,6.31,1.24,3319.62万,-130.40,56.4937,1777.86亿,1777.86亿
54,301217,铜冠铜箔,183.27,-1.83,A股,铜冠铜箔,8.66,85.72亿,92.16亿,电力设备-电池-锂电池,电力设备-电池-锂电池,题材股、中盘股、融资融券、5G概念、2025年报扭亏、深股通、深成500、宁德时代概念、锂电铜箔、PET铜箔、PCB、先进制造风格、东方财富热股、电池技术、趋势股、固态电池、储能概念、锂电池概念、比亚迪概念、央国企改革、创业板综、固态铜箔、PCB铜箔、安徽三资改革,-3.420,187.58,176.00,6.10,1.01,5057.59万,357.16,27.6188,1519.34亿,1519.34亿
55,300223,北京君正,237.36,20.00,A股,北京君正,1.96,85.43亿,126.58亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、中盘股、区块链、鸿蒙概念、贬值受益、抖音概念、CPU、3D打印、存储芯片、深成500、小米概念、智能穿戴、消费电子概念、京津冀一体化、SRAM存储、智能家居、毫米波概念、人工智能、无人驾驶、OLED、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、人脸识别、机器人概念、安防概念、融资融券、AI眼镜、深股通、超清视频、智能座舱、中证500、半导体概念、智能音箱、机器视觉、3D打印设备、创业板综、汽车芯片、传感器、汽车电子、DRAM存储、MiniLED,39.560,237.36,206.00,13.38,1.12,5643.67万,89.98,9.0556,1148.03亿,1000.93亿
56,002837,英维克,86.99,4.98,A股,英维克,1.69,85.31亿,89.44亿,机械设备-专用设备-其他专用设备,机械设备-专用设备-其他专用设备,粤港澳大湾区、5G概念、东数西算、深证100R、昨日高振幅、新能源车、抖音概念、深圳特区、深成500、先进制造风格、华为概念、通信技术、东方财富热股、HS300_、大盘成长、UQD连接器、腾讯概念、储能概念、CDU、中国AI 50、MSCI中国、阿里概念、军工、融资融券、液冷概念、充电桩、深股通、字节系算力、大盘股、数据中心、英伟达概念、比亚迪概念、腾讯云、高铁、冷链物流,4.130,89.69,84.10,9.12,1.17,1.03亿,3201.11,33.5972,1108.56亿,983.39亿
57,600460,士兰微,49.86,-0.30,A股,士兰微,6.31,84.23亿,83.56亿,电子-半导体-分立器件,电子-半导体-分立器件,国产芯片、LED概念、中盘股、共同富裕示范区、IGBT概念、昨日高振幅、国家大基金持股、新能源车、第三代半导体、氮化镓、标准普尔、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、HS300_、百日新高 、OLED、富时罗素、MCU芯片、2025年报预增、MSCI中国、题材股、融资融券、近期新高、中盘成长、上证380、沪股通、半导体概念、碳化硅、先进封装、光伏概念、比亚迪概念、汽车芯片、长江三角、风能、传感器、汽车电子、MiniLED,-0.150,51.43,48.11,10.13,0.95,1.69亿,99.32,6.8026,829.71亿,829.71亿
58,300346,南大光电,74.72,-2.96,A股,南大光电,7.80,82.81亿,81.60亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、LED概念、专精特新、中盘股、昨日高振幅、国家大基金持股、氮化镓、深成500、存储芯片、华为概念、东方财富热股、中芯概念、光刻机/胶、百日新高 、磷化工、OLED、富时罗素、电子特气、MSCI中国、题材股、融资融券、深股通、近期新高、中盘成长、中证500、半导体概念、氟化工概念、第四代半导体、光伏概念、新材料、历史新高 、工业气体、创业板综、股权激励、长江三角,-2.280,78.55,72.81,16.62,1.20,1.09亿,103.95,15.1598,516.43亿,490.16亿
59,002436,兴森科技,53.53,6.57,A股,兴森科技,3.57,82.22亿,83.30亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、粤港澳大湾区、中盘股、5G概念、昨日高振幅、光通信模块、标准普尔、深圳特区、深成500、存储芯片、华为概念、军民融合、通信技术、东方财富热股、互联网金融、高带宽内存、CPO概念、毫米波概念、科技风格、富时罗素、机器人概念、卫星互联网、军工、6G概念、低空经济、融资融券、2025年报扭亏、深股通、中证500、商业航天、半导体概念、先进封装、PCB、玻璃基板、6G元器件、先进封装材料、通信PCB,3.300,54.10,49.00,10.46,0.75,1.59亿,1213.46,17.2109,909.84亿,812.55亿
60,603629,利通电子,207.88,-5.08,A股,利通电子,8.45,80.01亿,77.69亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,军工、国产芯片、题材股、东数西算、昨日高振幅、液冷概念、算力概念、昨日触板、沪股通、华为概念、小米概念、东方财富热股、小盘股、英伟达概念、消费电子概念、腾讯概念、算力租赁、毫米波概念、人工智能、昨日炸板、OLED、2025年报预增、小盘成长、云计算,-11.120,225.85,205.60,14.11,1.01,3641.36万,50.25,24.2926,545.31亿,536.39亿
61,603083,剑桥科技,260.40,-0.69,A股,剑桥科技,10.00,79.00亿,83.56亿,通信-通信设备-通信终端及配件,通信-通信设备-通信终端及配件,中盘股、5G概念、昨日高振幅、贬值受益、光通信模块、工业互联、新型工业化、华为概念、最近多板、通信技术、东方财富热股、信创、智能家居、百日新高 、边缘计算、CPO概念、科技风格、2025年报预增、物联网、MSCI中国、题材股、融资融券、液冷概念、近期新高、中盘成长、上证380、F5G概念、沪股通、历史新高 、一带一路、股权激励、WiFi6、WiFi,-1.810,263.30,253.03,11.75,1.04,3237.88万,202.60,12.8475,958.92亿,717.63亿
62,601899,紫金矿业,25.92,-6.26,A股,紫金矿业,-0.36,78.51亿,150.37亿,有色金属-工业金属-铜,有色金属-工业金属-铜,周期股、上证180_、证金持股、贬值受益、金属钴、黄金加工、标准普尔、黄金开采、金属锌、HS300_、盐湖提锂、央国企改革、金属铅、小金属概念、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、福建自贸区、权重股、稀缺资源、融资融券、行业龙头、沪股通、大盘股、氢能源、铜矿、上证50_、一带一路、锂电池概念、锂矿概念,-1.730,26.76,25.73,2.80,1.64,5.76亿,8.58,3.6376,6892.31亿,5339.98亿
63,300390,天华新能,94.98,-3.90,A股,天华新能,12.78,78.04亿,65.24亿,电力设备-电池-电池化学品,电力设备-电池-电池化学品,国产芯片、中盘股、昨日高振幅、新能源车、深成500、存储芯片、宁德时代概念、先进制造风格、华为概念、电池技术、固态电池、储能概念、中芯概念、2026一季报预增、独角兽、小金属概念、富时罗素、MSCI中国、中盘价值、医疗器械概念、融资融券、深股通、2025年报预减、中证500、半导体概念、反内卷概念、硫化物、锂电池概念、创业板综、锂矿概念、富锂锰基,-3.850,100.98,94.58,10.01,1.01,6728.95万,20.36,6.3935,789.05亿,638.52亿
64,600030,中信证券,28.98,3.91,A股,中信证券,-1.52,77.48亿,108.27亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,权重股、周期股、融资融券、行业龙头、参股期货、上证180_、证金持股、沪股通、券商概念、标准普尔、深圳特区、大盘股、华为概念、HS300_、上证50_、互联网金融、科创板做市商、富时罗素、金融地产风格、MSCI中国、参股银行,1.090,29.06,27.71,3.11,1.21,3.79亿,10.51,1.5047,4294.99亿,3528.76亿
65,600206,有研新材,56.16,8.50,A股,有研新材,7.05,75.88亿,72.93亿,电子-半导体-半导体材料,电子-半导体-半导体材料,国产芯片、5G概念、昨日高振幅、磁材加工、国家大基金持股、长江存储、3D打印、存储芯片、标准普尔、华为概念、通信技术、东方财富热股、尾气治理、昨日高换手、趋势股、2025三季报预增、中芯概念、京津冀一体化、央国企改革、百日新高 、OLED、小金属概念、富时罗素、牙科医疗、2025年报预增、题材股、军工、稀土永磁、雄安新区、医疗器械概念、融资融券、近期新高、沪股通、半导体概念、先进封装、新能源、小盘股、新材料、历史新高 、光纤概念、先进封装材料、传感器,4.400,56.90,49.80,16.18,0.99,1.37亿,134.65,11.1508,475.42亿,475.42亿
66,603993,洛阳钼业,18.07,-4.79,A股,洛阳钼业,-2.62,74.62亿,70.08亿,有色金属-工业金属-铜,有色金属-工业金属-铜,镍矿、周期股、上证180_、贬值受益、金属钴、标准普尔、宁德时代概念、黄金开采、HS300_、盐湖提锂、磷化工、小金属概念、钴矿、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、权重股、稀缺资源、融资融券、沪股通、大盘股、金属镍、铜矿、上证50_、金属钨,-0.910,18.48,17.93,2.22,0.79,3.87亿,12.45,4.6720,3865.95亿,3155.17亿
67,688498,源杰科技,1875.00,2.01,A股,源杰科技,1.08,74.41亿,74.83亿,电子-半导体-分立器件,电子-半导体-分立器件,国产芯片、光芯片、融资融券、5G概念、西部大开发、2025年报扭亏、光通信模块、上证380、中证500、沪股通、半导体概念、大盘股、华为概念、通信技术、数据中心、趋势股、大盘成长、光纤概念、CPO概念、科技风格、汽车芯片、MSCI中国,37.000,1898.00,1777.94,3.29,0.88,403.80万,325.23,94.7103,2334.38亿,2304.23亿
68,002600,领益智造,17.88,1.25,A股,领益智造,10.03,73.05亿,79.49亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,深证100R、AIPC、贬值受益、3D打印、深成500、东方财富热股、智能穿戴、太空算力、碳纤维、富时罗素、无线充电、机器人概念、稀土永磁、融资融券、低空经济、液冷概念、昨日首板、无人机、商业航天、苹果概念、智能音箱、英伟达概念、光伏概念、AI手机代工、无线耳机、5G概念、昨日高振幅、磁材加工、新能源车、灵巧手、标准普尔、柔性屏、华为概念、小米概念、最近多板、消费电子概念、HS300_、2025三季报预增、CPO概念、人工智能、混合现实、科技风格、富士康概念、MSCI中国、AI手机、激光雷达、AI眼镜、深股通、充电桩、虚拟现实、大盘股、新材料、人形机器人、比亚迪概念、增强现实、海峡两岸、光伏逆变器、减速器,0.220,18.28,17.51,6.17,1.44,4.44亿,83.41,5.3889,1306.71亿,1287.31亿
69,002709,天赐材料,55.20,-2.02,A股,天赐材料,4.26,70.30亿,52.33亿,电力设备-电池-电池化学品,电力设备-电池-电池化学品,钠离子电池、六氟磷酸锂、周期股、深证100R、昨日高振幅、新能源车、标准普尔、深成500、宁德时代概念、先进制造风格、电池技术、HS300_、固态电池、富时罗素、2025年报预增、PEEK材料概念、MSCI中国、动力电池回收、融资融券、深股通、大盘股、氟化工概念、氢能源、硫化物、新材料、锂电池概念、比亚迪概念、有机硅概念、氢氟酸、特斯拉概念,-1.140,56.48,55.00,6.25,0.74,9432.38万,17.00,6.0917,1125.29亿,832.97亿
70,688313,仕佳光子,199.94,-1.67,A股,仕佳光子,1.68,70.15亿,57.99亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、激光雷达、光芯片、光纤光缆、中盘股、专精特新、5G概念、融资融券、光通信模块、中盘成长、上证380、中证500、F5G概念、沪股通、MPO连接器、数据中心、通信技术、光纤概念、CPO概念、科技风格、2025年报预增、MSCI中国,-3.390,205.92,193.00,6.44,0.83,2911.88万,194.47,59.3417,903.70亿,903.70亿
71,688072,拓荆科技,823.00,0.37,A股,拓荆科技,6.49,69.74亿,64.04亿,电子-半导体-半导体设备,电子-半导体-半导体设备,国产芯片、专精特新、融资融券、昨日高振幅、近期新高、上证180_、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、先进封装、HS300_、大盘成长、中芯概念、历史新高 、高带宽内存、百日新高 、科技风格、先进封装设备、MSCI中国,3.000,861.08,799.99,2.73,0.82,771.67万,101.93,32.4140,2326.56亿,2326.56亿
72,600276,恒瑞医药,50.04,-0.42,A股,恒瑞医药,2.59,68.74亿,52.19亿,医药生物-化学制药-化学制剂,医药生物-化学制药-化学制剂,上证180_、证金持股、标准普尔、医药医疗风格、创投、HS300_、大盘成长、仿制药一致性评价、医药电商、中药概念、眼科医疗、央视50_、辅助生殖、富时罗素、创新药、MSCI中国、细胞免疫治疗、权重股、医疗器械概念、融资融券、GLP-1制剂、沪股通、绿色电力、大盘股、上证50_、单抗概念、茅指数、股权激励、减肥药、智能医疗、PD-1,-0.210,50.80,48.66,1.65,1.03,1.05亿,36.38,5.3266,3321.26亿,3192.05亿
73,600172,黄河旋风,18.27,6.84,A股,黄河旋风,0.88,68.16亿,68.12亿,机械设备-通用设备-磨具磨料,机械设备-通用设备-磨具磨料,题材股、培育钻石、融资融券、昨日高振幅、近期新高、第三代半导体、沪股通、旅游概念、标准普尔、节能环保、最近多板、东方财富热股、昨日高换手、新材料、历史新高 、超硬材料、央国企改革、百日新高 ,1.170,18.81,15.60,31.46,1.38,4.01亿,-68.24,56.8313,263.49亿,233.17亿
74,300620,光库科技,395.46,-2.60,A股,光库科技,5.59,68.08亿,64.54亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、粤港澳大湾区、中盘股、5G概念、海工装备、OCS交换机、光通信模块、3D打印、深成500、通信技术、趋势股、2025三季报预增、2026一季报预增、央国企改革、百日新高 、CPO概念、横琴新区、无人驾驶、量子通信、科技风格、2025年报预增、海底电缆、MSCI中国、量子科技、卫星互联网、激光雷达、融资融券、深股通、近期新高、中盘成长、中证500、商业航天、MPO连接器、数据中心、历史新高 、卫星导航、光纤概念、一带一路、创业板综、海洋经济、股权激励,-10.540,397.94,378.00,6.70,1.09,1656.22万,550.68,45.7298,985.41亿,977.19亿
75,000960,锡业股份,44.42,-4.68,A股,锡业股份,9.78,67.78亿,70.92亿,有色金属-小金属-其他小金属,有色金属-小金属-其他小金属,金属铜、中盘价值、中盘股、稀缺资源、融资融券、西部大开发、昨日高振幅、深股通、化债概念、中证500、标准普尔、深成500、东方财富热股、金属锌、金属钨、2026一季报预增、央国企改革、金属铅、小金属概念、富时罗素、MSCI中国、金属铟,-2.180,47.86,44.13,9.49,1.20,1.56亿,21.06,3.5990,730.90亿,730.90亿
76,603005,晶方科技,50.00,0.75,A股,晶方科技,4.93,67.72亿,69.04亿,电子-半导体-集成电路封测,电子-半导体-集成电路封测,国产芯片、5G概念、昨日高振幅、贬值受益、3D摄像头、新能源车、第三代半导体、氮化镓、华为概念、通信技术、东方财富热股、昨日高换手、趋势股、消费电子概念、高带宽内存、光刻机/胶、百日新高 、2025年报预增、融资融券、近期新高、虚拟现实、上证380、沪股通、半导体概念、先进封装、小盘股、玻璃基板、生物识别、增强现实、汽车芯片、小盘成长、传感器、长江三角、汽车电子,0.370,52.00,48.65,21.03,1.37,1.37亿,124.58,6.9971,326.09亿,326.09亿
77,688820,盛合晶微,210.50,-1.63,A股,盛合晶微,6.67,64.55亿,66.38亿,电子-半导体-集成电路封测,电子-半导体-集成电路制造,国产芯片、融资融券、注册制次新股、半导体概念、次新股、存储芯片、先进封装,-3.480,222.22,205.88,17.95,1.05,3103.49万,512.36,20.3792,3921.14亿,363.96亿
78,600392,盛和资源,32.20,1.90,A股,盛和资源,1.84,63.65亿,59.36亿,有色金属-小金属-稀土,有色金属-小金属-稀土,稀土永磁、中盘股、融资融券、西部大开发、昨日高振幅、中盘成长、上证380、中证500、参股保险、沪股通、标准普尔、苹果概念、冶炼分离、2025三季报预增、央国企改革、小金属概念、富时罗素、2025年报预增、MSCI中国,0.600,33.10,30.21,10.53,0.73,1.85亿,43.11,4.3858,564.41亿,564.41亿
79,600160,巨化股份,50.80,0.14,A股,巨化股份,8.28,63.27亿,51.99亿,基础化工-化学制品-氟化工,基础化工-化学制品-氟化工,国产芯片、数据中心液冷、六氟磷酸锂、周期股、昨日高振幅、化工原料、上证180_、冷却液、标准普尔、东方财富热股、创投、电池技术、趋势股、消毒剂、HS300_、中芯概念、央国企改革、百日新高 、PVDF概念、富时罗素、2025年报预增、MSCI中国、题材股、融资融券、液冷概念、近期新高、沪股通、绿色电力、半导体概念、大盘股、碳交易、数据中心、氟化工概念、历史新高 、工业气体、锂电池概念、煤化工概念、氢氟酸、长江三角、风能,0.070,52.00,50.30,3.77,0.76,1.02亿,29.23,6.6617,1371.47亿,1371.47亿
80,002466,天齐锂业,64.64,-2.25,A股,天齐锂业,7.84,62.36亿,55.46亿,有色金属-能源金属-锂,有色金属-能源金属-锂,周期股、深证100R、西部大开发、昨日高振幅、化肥、证金持股、新能源车、标准普尔、深成500、东方财富热股、刀片电池、电池技术、HS300_、固态电池、盐湖提锂、2026一季报预增、小金属概念、富时罗素、MSCI中国、动力电池回收、融资融券、2025年报扭亏、深股通、无人机、大盘股、反内卷概念、硫化物、新材料、锂电池概念、大盘价值、锂矿概念、特斯拉概念,-1.490,67.44,64.03,5.74,1.05,8470.14万,14.76,2.3892,1107.42亿,953.91亿
81,000066,中国长城,20.47,7.74,A股,中国长城,6.92,62.25亿,83.86亿,计算机-计算机设备-其他计算机设备,计算机-计算机设备-其他计算机设备,国产芯片、钠离子电池、中盘股、区块链、海工装备、数字经济、AIPC、CPU、深圳特区、深成500、交换机、东方财富热股、中国AI 50、国产操作系统、中字头、富时罗素、互联医疗、华为鲲鹏、军工、融资融券、液冷概念、商业航天、网络安全、华为系算力、数据中心、卫星导航、智能电网、大数据、北斗导航、粤港澳大湾区、数据中心液冷、5G概念、东数西算、昨日高振幅、车联网、标准普尔、华为概念、军民融合、通信技术、电池技术、消费电子概念、信创、央国企改革、百度概念、DeepSeek概念、人工智能、MSCI中国、量子科技、数据安全、充电桩、深股通、智慧城市、参股券商、锂电池概念、中特估、汽车电子,1.470,20.80,18.31,13.34,1.53,4.30亿,-197.42,6.0403,660.32亿,660.27亿
